concept	facet	property	facet_property	cluster_label
pesticide residue	health effects	endocrine disruption	health effects: endocrine disruption	762
pesticide residue	effects	endocrine disruption	effects: endocrine disruption	762
toxic substance	types	endocrine disruptors	types: endocrine disruptors	762
water pollutant	types	endocrine disruptors	types: endocrine disruptors	762
water pollutant	effects	biochemical disruption	effects: biochemical disruption	762
chemical pollution	types	endocrine disruptors	types: endocrine disruptors	762
pesticide residue	health risks	endocrine disruption	health risks: endocrine disruption	762
carcinogenic substance	mechanisms	hormone disruption	mechanisms: hormone disruption	762
pesticide residue	risks	endocrine disruption	risks: endocrine disruption	762
carcinogenic substance	effects	tumor promotion	effects: tumor promotion	762
pollutant	impact	endocrine disruption	impact: endocrine disruption	762
stagnant water	problems	algal growth	problems: algal growth	763
eutrophication	effects	algal blooms	effects: algal blooms	763
eutrophication	definition	harmful algae blooms	definition: harmful algae blooms	763
eutrophication	effects	toxic algal blooms	effects: toxic algal blooms	763
eutrophication	process	algal blooms	process: algal blooms	763
antarctica	wildlife	algae	wildlife: algae	763
eutrophication	effects	toxic algae blooms	effects: toxic algae blooms	763
marine pollution	consequences	toxic algae blooms	consequences: toxic algae blooms	763
pollution of waterways	consequences	toxic algae blooms	consequences: toxic algae blooms	763
eutrophication	effect	algal blooms	effect: algal blooms	763
eutrophication	definition	algal growth	definition: algal growth	763
water pollution	consequences	toxic algae blooms	consequences: toxic algae blooms	763
erosion	effects	changed landscapes	effects: changed landscapes	764
atmosphere	interactions	with space	interactions: with space	764
erosion	effects	landform change	effects: landform change	764
erosion	types	wearing away	types: wearing away	764
erosion	effects	landform changes	effects: landform changes	764
erosion	effects	landscape change	effects: landscape change	764
atmosphere	interactions	with land	interactions: with land	764
erosion	effects	changes in landforms	effects: changes in landforms	764
countryside conservation	concerns	soil degradation	concerns: soil degradation	765
soil pollution	effects	degradation of soil quality	effects: degradation of soil quality	765
desertification	effect	reduced soil fertility	effect: reduced soil fertility	765
deforestation	consequences	degradation of soil	consequences: degradation of soil	765
soil resources	concerns	nutrient depletion	concerns: nutrient depletion	765
terrestrial ecosystem	impact	soil formation	impact: soil formation	765
ecosystem	impact	soil formation	impact: soil formation	765
ecological balance	impact	soil formation	impact: soil formation	765
agricultural waste	impact	soil degradation	impact: soil degradation	765
biosphere	impact	soil formation	impact: soil formation	765
deforestation	consequences	degraded soil	consequences: degraded soil	765
acid rain	consequences	soil acidification	consequences: soil acidification	765
thermal pollution	impact	water quality degradation	impact: water quality degradation	765
organic pollution	effects	water quality degradation	effects: water quality degradation	765
marine pollution	effects	water quality degradation	effects: water quality degradation	765
desertification	process	degradation of soil	process: degradation of soil	765
corrosion	effects	material degradation	effects: material degradation	765
desertification	effects	reduced soil fertility	effects: reduced soil fertility	765
exploitation of the seas	effects	depletion of marine resources	effects: depletion of marine resources	765
pollution from agricultural sources	causes	overuse of chemicals	causes: overuse of chemicals	765
dust	effects	deterioration of materials	effects: deterioration of materials	765
arid zone	soil	poor soil quality	soil: poor soil quality	765
food contamination	effects	infant mortality	effects: infant mortality	766
soil pollution	effects	loss of fertility	effects: loss of fertility	766
soil pollution	effects	reduction of fertility	effects: reduction of fertility	766
desertification	effects	reduced fertility	effects: reduced fertility	766
soil pollution	effects	reduced fertility	effects: reduced fertility	766
soil pollution	impact	reduced fertility	impact: reduced fertility	766
deforestation	effects	loss of ecosystem services	effects: loss of ecosystem services	767
greenhouse gas	effects	disruption to ecosystems	effects: disruption to ecosystems	767
greenhouse gas	effects	negative impacts on ecosystems	effects: negative impacts on ecosystems	767
exploitation of resources	consequences	damage to ecosystems	consequences: damage to ecosystems	767
exploitation of the seas	consequences	damage to ecosystems	consequences: damage to ecosystems	767
climate	indicators	shifts in species distribution	indicators: shifts in species distribution	767
thermal pollution	effects	alteration of ecosystems	effects: alteration of ecosystems	767
greenhouse effect	consequences	disruption of ecosystems	consequences: disruption of ecosystems	767
erosion	consequences	disruption of ecosystems	consequences: disruption of ecosystems	767
volcanic eruption	consequences	long-term effects on ecosystems	consequences: long-term effects on ecosystems	767
exploitation of the seas	effects	damage to ecosystems	effects: damage to ecosystems	767
pollution from ships	effects	damage to ecosystems	effects: damage to ecosystems	767
marine pollution	impact	alteration of ecosystems	impact: alteration of ecosystems	767
acid rain	consequences	disruption of ecosystems	consequences: disruption of ecosystems	767
thermal pollution	effects	alteration of aquatic habitats	effects: alteration of aquatic habitats	767
stratospheric pollution	effects	disruption of ecosystems	effects: disruption of ecosystems	767
stratospheric pollution	effects	disrupted ecosystems	effects: disrupted ecosystems	767
thermal discharge	effects	alteration of aquatic habitats	effects: alteration of aquatic habitats	767
deforestation	consequences	disruption of water cycles	consequences: disruption of water cycles	767
global warming	effect	disruption of ecosystems	effect: disruption of ecosystems	767
thermal pollution	effects	disruption of food chains	effects: disruption of food chains	767
agricultural disaster	affected areas	ecosystems	affected areas: ecosystems	767
cost of pollution	effects	destruction of ecosystems	effects: destruction of ecosystems	767
defoliation	effects	alteration of ecosystem	effects: alteration of ecosystem	767
exploitation of the seas	effects	destruction of ecosystems	effects: destruction of ecosystems	767
stratospheric pollution	impact	disruption of natural processes	impact: disruption of natural processes	767
greenhouse gas	effects	disrupted ecosystems	effects: disrupted ecosystems	767
thermal pollution	effects	disruption of ecosystems	effects: disruption of ecosystems	767
defoliation	effect	disruption of ecosystem	effect: disruption of ecosystem	767
coastal pollution	effects	destruction of ecosystems	effects: destruction of ecosystems	767
ozone	effects	skin irritation	effects: skin irritation	768
harmful plant	effects	skin irritation	effects: skin irritation	768
ozone	effects	eye irritation	effects: eye irritation	768
stagnant water	health risks	skin irritation	health risks: skin irritation	768
harmful plant	effects	irritation	effects: irritation	768
reptile	skin	dry	skin: dry	768
stratospheric pollution	effects	eye and lung damage	effects: eye and lung damage	769
atmospheric pollutant	effects	respiratory problems	effects: respiratory problems	769
atmospheric pollution	effects	respiratory problems	effects: respiratory problems	769
harmful plant	effects	respiratory problems	effects: respiratory problems	769
combustion gases	effects	respiratory problems	effects: respiratory problems	769
motor vehicle pollution	effects	respiratory problems	effects: respiratory problems	769
stratospheric pollutant	effects	respiratory problems	effects: respiratory problems	769
stratospheric pollutant	impact	respiratory problems	impact: respiratory problems	769
dust	effects	respiratory problems	effects: respiratory problems	769
dust	effects	respiratory issues	effects: respiratory issues	769
atmospheric pollutant	effects	respiratory issues	effects: respiratory issues	769
harmful plant	effects	respiratory issues	effects: respiratory issues	769
ozone	effects	respiratory issues	effects: respiratory issues	769
atmospheric pollutant	consequences	respiratory issues	consequences: respiratory issues	769
harmful plant	effects	inhalation problems	effects: inhalation problems	769
cost of pollution	effects	respiratory diseases	effects: respiratory diseases	769
dust	impact	respiratory issues	impact: respiratory issues	769
dust	effects	electrical failures	effects: electrical failures	770
dust	impact	electrical failures	impact: electrical failures	770
dust	effects	electrical issues	effects: electrical issues	770
industrial hazard	causes	electrical issues	causes: electrical issues	770
corrosion	consequences	electrical failure	consequences: electrical failure	770
flood	effects	economic disruption	effects: economic disruption	771
flood	impact	economic disruption	impact: economic disruption	771
volcanic eruption	impact	economic disruption	impact: economic disruption	771
global warming	impact	economic disruption	impact: economic disruption	771
cyclone	impact	economic disruption	impact: economic disruption	771
ecological balance	impact	economic disruption	impact: economic disruption	771
climate change	impact	economic disruption	impact: economic disruption	771
natural disaster	impact	economic disruption	impact: economic disruption	771
desertification	effects	economic decline	effects: economic decline	771
exploitation of the sea-bed	impact	economic disruption	impact: economic disruption	771
noise pollution	effects	economic disruption	effects: economic disruption	771
natural disaster	effects	economic disruption	effects: economic disruption	771
climate change	impacts	economic disruption	impacts: economic disruption	771
flood	consequences	economic disruption	consequences: economic disruption	771
electromagnetic interference	effects	communication disruption	effects: communication disruption	771
exploitation of the seas	consequences	impact on tourism	consequences: impact on tourism	771
coastal pollution	effects	tourism decline	effects: tourism decline	771
agricultural disaster	consequences	economic crisis	consequences: economic crisis	771
volcanic eruption	consequences	economic disruption	consequences: economic disruption	771
natural disaster	consequences	economic disruption	consequences: economic disruption	771
natural hazard	consequences	economic disruption	consequences: economic disruption	771
agricultural disaster	affected areas	economies	affected areas: economies	771
marine pollution	effects	economic damage	effects: economic damage	771
disaster area	effects	economic damage	effects: economic damage	771
noise level	importance	communication disruption	importance: communication disruption	771
agricultural disaster	effects	economic crisis	effects: economic crisis	771
climate	impacts	economic disruption	impacts: economic disruption	771
noise	effects	communication interference	effects: communication interference	772
electromagnetic interference	effects	signal degradation	effects: signal degradation	772
electromagnetic interference	effect	signal degradation	effect: signal degradation	772
acidification	effects	coral bleaching	effects: coral bleaching	773
coastal pollution	effects	beach damage	effects: beach damage	773
acidification	effects	coral reef damage	effects: coral reef damage	773
exploitation of the sea-bed	concerns	coral reefs	concerns: coral reefs	773
red sea	environmental issues	coral bleaching	environmental issues: coral bleaching	773
exploitation of the seas	affected areas	coral reefs	affected areas: coral reefs	773
marine pollution	effects	damage to coral reefs	effects: damage to coral reefs	773
ozone	effects	skin damage	effects: skin damage	774
stratospheric pollution	effects	skin cancer risk	effects: skin cancer risk	774
stratospheric pollution	effect	skin cancer risk	effect: skin cancer risk	774
ozone	function	preventing skin cancer	function: preventing skin cancer	774
stratospheric pollution	effect	skin cancer	effect: skin cancer	774
stratospheric pollution	effects	skin cancer	effects: skin cancer	774
stratospheric pollutant	consequences	skin cancer	consequences: skin cancer	774
pollution from agricultural sources	consequences	dead zones	consequences: dead zones	775
eutrophication	effect	dead zones	effect: dead zones	775
acidification	effects	shellfish decline	effects: shellfish decline	775
water pollution	consequences	dead zones	consequences: dead zones	775
eutrophication	effects	dead zones	effects: dead zones	775
marine pollution	consequences	dead zones	consequences: dead zones	775
organic pollution	effects	dead zones	effects: dead zones	775
pollution of waterways	consequences	dead zones	consequences: dead zones	775
noise level	influence	sleep disturbance	influence: sleep disturbance	776
noise level	effects	sleep disturbance	effects: sleep disturbance	776
harmful plant	effects	digestive issues	effects: digestive issues	776
noise	effects	sleep disturbance	effects: sleep disturbance	776
noise protection	concerns	sleep disturbance	concerns: sleep disturbance	776
atmospheric pollutant	effects	cardiovascular disease	effects: cardiovascular disease	776
noise pollution	effects	cardiovascular disease	effects: cardiovascular disease	776
motor vehicle pollution	effects	cardiovascular disease	effects: cardiovascular disease	776
noise pollution	impact	sleep disturbance	impact: sleep disturbance	776
noise pollution	effects	sleep disturbance	effects: sleep disturbance	776
noise level	impact	sleep disturbance	impact: sleep disturbance	776
bad weather	effects	mood swings	effects: mood swings	776
dangerous substance	effects	addictive	effects: addictive	776
noise level	environmental impact	sleep disturbance	environmental impact: sleep disturbance	776
noise level	importance	sleep disturbance	importance: sleep disturbance	776
harmful plant	effects	inflammation	effects: inflammation	776
toxic substance	risk factors	concentration	risk factors: concentration	776
noise level	effects	fatigue	effects: fatigue	776
mechanical vibration	effects	fatigue	effects: fatigue	776
toxic substance	effects	acute	effects: acute	776
noise	impact	sleep disturbance	impact: sleep disturbance	776
desertification	effects	reduction of water sources	effects: reduction of water sources	777
desertification	process	reduction of water table	process: reduction of water table	777
desertification	effects	decrease in agricultural productivity	effects: decrease in agricultural productivity	777
desertification	effect	decrease in crop yields	effect: decrease in crop yields	777
percolation water	benefits	increased water availability	benefits: increased water availability	777
desertification	effects	reduced water availability	effects: reduced water availability	777
desertification	effects	reduction in water availability	effects: reduction in water availability	777
stagnant water	causes	low water table	causes: low water table	777
electromagnetic interference	effect	system failure	effect: system failure	778
electromagnetic interference	effect	data corruption	effect: data corruption	778
electromagnetic interference	effects	system failures	effects: system failures	778
electromagnetic interference	effect	equipment malfunction	effect: equipment malfunction	778
electromagnetic interference	consequences	system failure	consequences: system failure	778
electromagnetic interference	effects	data corruption	effects: data corruption	778
corrosion	consequences	mechanical failure	consequences: mechanical failure	778
electromagnetic interference	effects	equipment malfunction	effects: equipment malfunction	778
electromagnetic interference	effects	system failure	effects: system failure	778
electromagnetic interference	importance	can cause system failures	importance: can cause system failures	778
electromagnetic interference	effects	device malfunction	effects: device malfunction	778
noise pollution	effects	hearing loss	effects: hearing loss	779
noise level	importance	hearing protection	importance: hearing protection	779
noise level	impact	hearing loss	impact: hearing loss	779
noise pollution	impact	hearing loss	impact: hearing loss	779
noise protection	concerns	hearing damage	concerns: hearing damage	779
noise level	environmental impact	hearing loss	environmental impact: hearing loss	779
noise level	influence	hearing loss	influence: hearing loss	779
noise	impact	hearing loss	impact: hearing loss	779
marine pollution	consequences	human health impacts	consequences: human health impacts	780
pollution of waterways	effects	human health impacts	effects: human health impacts	780
water pollution	effects	human health impacts	effects: human health impacts	780
exploitation of the seas	effects	human health impacts	effects: human health impacts	780
marine pollution	effects	human health impacts	effects: human health impacts	780
water pollutant	consequences	human health impacts	consequences: human health impacts	780
stratospheric pollution	consequences	human health impacts	consequences: human health impacts	780
soil pollution	consequences	human health impacts	consequences: human health impacts	780
unauthorised dumping	consequences	human health impacts	consequences: human health impacts	780
coastal pollution	consequences	human health impacts	consequences: human health impacts	780
chemical pollution	consequences	human health impacts	consequences: human health impacts	780
acidification	effects	human health impacts	effects: human health impacts	780
thermal pollution	consequences	human health impacts	consequences: human health impacts	780
water protection	consequences	human health impacts	consequences: human health impacts	780
pollution from agricultural sources	consequences	human health impacts	consequences: human health impacts	780
environmental liability	consequences	human health impacts	consequences: human health impacts	780
acid rain	consequences	human health impacts	consequences: human health impacts	780
soil pollution	effects	human health impacts	effects: human health impacts	780
soil pollution	effects	human health impact	effects: human health impact	780
pollution from agricultural sources	effects	human health impacts	effects: human health impacts	780
degradation of the environment	consequences	human health impacts	consequences: human health impacts	780
quality of the environment	impacts	human health	impacts: human health	780
climate change	impacts	human health	impacts: human health	780
climate	impacts	human health	impacts: human health	780
marine pollution	effects	impact on human health	effects: impact on human health	780
exploitation of the seas	effects	impact on human health	effects: impact on human health	780
oil pollution	effects	human health concerns	effects: human health concerns	780
pollution from land-based sources	effects	human health impacts	effects: human health impacts	780
greenhouse effect	consequences	human health effects	consequences: human health effects	780
pollution	impact on	human health	impact on: human health	780
coastal pollution	impact on	human health	impact on: human health	780
pollution of waterways	impact on	human health	impact on: human health	780
exploitation of the seas	consequences	human health	consequences: human health	780
eutrophication	consequences	human health	consequences: human health	780
degradation of the environment	consequences	human health	consequences: human health	780
coastal pollution	effects	human health impacts	effects: human health impacts	780
accidental pollution	consequences	human health effects	consequences: human health effects	780
pollution	consequences	human health impacts	consequences: human health impacts	780
acid rain	effects	human health impact	effects: human health impact	780
organic pollution	consequences	human health impacts	consequences: human health impacts	780
pollutant	effects	harm to humans	effects: harm to humans	780
physical environment	influence on humans	health	influence on humans: health	780
cost of pollution	effects	human health issues	effects: human health issues	780
industrial pollution	effects	human health issues	effects: human health issues	780
pollution from land-based sources	effects	human health issues	effects: human health issues	780
acidification	effects	human health issues	effects: human health issues	780
acid rain	effects	human health issues	effects: human health issues	780
dangerous substance	effects	harm to humans	effects: harm to humans	780
exploitation of the seas	effects	human health issues	effects: human health issues	780
water pollution	effects	human health issues	effects: human health issues	780
noise pollution	consequences	human health impact	consequences: human health impact	780
man-made disaster	human impact	health effects	human impact: health effects	780
global warming	impacts	health impacts	impacts: health impacts	780
water pollutant	effects	human health risk	effects: human health risk	780
marine pollution	effects	human health risk	effects: human health risk	780
metal pollution	effects	human health risk	effects: human health risk	780
coastal pollution	effects	human health issues	effects: human health issues	780
pollution from land-based sources	consequences	human health impacts	consequences: human health impacts	780
pollution from ships	effects	harm to humans	effects: harm to humans	780
oil pollution	effects	public health risk	effects: public health risk	780
eutrophication	consequences	human health impacts	consequences: human health impacts	780
exploitation of the seas	consequences	human health impacts	consequences: human health impacts	780
prevention of pollution	impact	health effects	impact: health effects	780
accidental pollution	impact	health effects	impact: health effects	780
combustion gases	impact	health effects	impact: health effects	780
use of water	impact	health effects	impact: health effects	780
stratospheric pollutant	impact	health effects	impact: health effects	780
accidental pollution	effects	public health risk	effects: public health risk	780
motor vehicle pollution	impact	health effects	impact: health effects	780
degree of pollution	impact	health effects	impact: health effects	780
noise	impact	health effects	impact: health effects	780
radioactive effluent	impact	health effects	impact: health effects	780
water pollutant	effects	human health	effects: human health	780
water pollution	effects	human health	effects: human health	780
motor vehicle pollution	effects	human health	effects: human health	780
organic pollution	effects	human disease	effects: human disease	780
reduction of gas emissions	impact	health effects	impact: health effects	780
non-ionising radiation	effects	entertainment	effects: entertainment	781
area management	benefits	enhanced aesthetics	benefits: enhanced aesthetics	781
plant resources	properties	aesthetic	properties: aesthetic	781
bathing water	properties	aesthetics	properties: aesthetics	781
countryside conservation	focus areas	landscape aesthetics	focus areas: landscape aesthetics	781
area management	goals	aesthetics	goals: aesthetics	781
pollution	effects	aesthetic	effects: aesthetic	781
dust	effects	aesthetics	effects: aesthetics	781
pollution of waterways	effects	aesthetic impacts	effects: aesthetic impacts	781
quality of the environment	impact	aesthetic experience	impact: aesthetic experience	781
dangerous substance	effects	ecological	effects: ecological	782
defoliation	effects	ecological	effects: ecological	782
pollution	effects	ecological	effects: ecological	782
metal pollution	effects	ecotoxicity	effects: ecotoxicity	782
toxic substance	hazards	ecotoxicity	hazards: ecotoxicity	782
chemical waste	impact	ecotoxicity	impact: ecotoxicity	782
chemical waste	environmental impact	ecotoxicity	environmental impact: ecotoxicity	782
corrosion	mechanisms	pitting	mechanisms: pitting	783
corrosion	forms	corrosion pits	forms: corrosion pits	783
corrosion	causes	oxidation	causes: oxidation	783
acid rain	effect	corrosion of metals	effect: corrosion of metals	783
corrosion	mechanisms	crevice corrosion	mechanisms: crevice corrosion	783
acid rain	effects	corrosion of buildings and monuments	effects: corrosion of buildings and monuments	783
corrosion	type	stress corrosion	type: stress corrosion	783
erosion	processes	corrosion	processes: corrosion	783
erosion	types	corrosion	types: corrosion	783
acid rain	effects	building corrosion	effects: building corrosion	783
acid rain	effects	corrosion	effects: corrosion	783
acidification	effects	corrosion	effects: corrosion	783
oil pollution	consequences	corrosiveness	consequences: corrosiveness	783
underwater mineral resources	challenges	corrosion	challenges: corrosion	783
metal waste	properties	corrosion resistance	properties: corrosion resistance	783
acid rain	consequences	corrosion of infrastructure	consequences: corrosion of infrastructure	783
mechanical vibration	methods of reduction	vibration absorption	methods of reduction: vibration absorption	784
greenhouse effect	mechanism	energy absorption	mechanism: energy absorption	784
mechanical vibration	measures	vibration isolation	measures: vibration isolation	784
mechanical vibration	applications	vibration analysis	applications: vibration analysis	784
mechanical vibration	applications	vibration isolation	applications: vibration isolation	784
mechanical vibration	effects	vibration transmission	effects: vibration transmission	784
mechanical vibration	control	vibration reduction	control: vibration reduction	784
mechanical vibration	effects	vibration isolation	effects: vibration isolation	784
mechanical vibration	methods of reduction	vibration testing	methods of reduction: vibration testing	784
mechanical vibration	applications	vibration-based energy harvesting	applications: vibration-based energy harvesting	784
food contamination	consequences	foodborne illness	consequences: foodborne illness	785
food contamination	causes	food handling	causes: food handling	785
food contamination	effects	foodborne illness	effects: foodborne illness	785
food contamination	effects	food poisoning	effects: food poisoning	785
chemical pollution	effects	neurological disorders	effects: neurological disorders	786
metal pollution	consequences	neurological damage	consequences: neurological damage	786
harmful plant	effects	organ damage	effects: organ damage	786
carcinogenic substance	effects	organ damage	effects: organ damage	786
stratospheric pollutant	consequences	eye damage	consequences: eye damage	786
pesticide residue	effects	neurological damage	effects: neurological damage	786
carcinogenic substance	effects	neurological damage	effects: neurological damage	786
toxic substance	hazards	neurological damage	hazards: neurological damage	786
metal pollution	effects	neurological damage	effects: neurological damage	786
mechanical vibration	effects	structure damage	effects: structure damage	787
earthquake	effects	building damage	effects: building damage	787
acid rain	effects	building damage	effects: building damage	787
destruction of crops	type	fire damage	type: fire damage	787
destruction of crops	types	mechanical damage	types: mechanical damage	787
dust	effects	electronic damage	effects: electronic damage	787
dangerous substance	effects	health damage	effects: health damage	787
bad weather	effects	damage	effects: damage	787
mechanical vibration	effects	damage	effects: damage	787
cyclone	effects	damage	effects: damage	787
electromagnetic interference	effects	equipment damage	effects: equipment damage	787
dust	effects	equipment damage	effects: equipment damage	787
corrosion	effects	damage	effects: damage	787
eutrophication	effects	decreased water quality	effects: decreased water quality	788
thermal pollution	effects	changes in water chemistry	effects: changes in water chemistry	788
water pollutant	consequences	water treatment costs	consequences: water treatment costs	788
thermal pollution	effects	increased water treatment costs	effects: increased water treatment costs	788
eutrophication	definition	reduced water quality	definition: reduced water quality	788
deforestation	consequences	reduced water quality	consequences: reduced water quality	788
deforestation	consequences	degraded water quality	consequences: degraded water quality	788
stagnant water	effects	affects water quality	effects: affects water quality	788
thermal discharge	effects	alteration of water chemistry	effects: alteration of water chemistry	788
thermal pollution	effects	reduced water quality	effects: reduced water quality	788
stagnant water	environmental impact	supports algae growth	environmental impact: supports algae growth	788
carcinogenic substance	effects	teratogenic	effects: teratogenic	789
pesticide residue	effects	carcinogenicity	effects: carcinogenicity	789
pesticide residue	effects	mutagenicity	effects: mutagenicity	789
pesticide residue	effects	teratogenicity	effects: teratogenicity	789
organic pollution	effects	mutagenicity	effects: mutagenicity	789
water management	tools	water-saving appliances	tools: water-saving appliances	790
water protection	actions	water-saving measures	actions: water-saving measures	790
use of water	efficiency	water-saving techniques	efficiency: water-saving techniques	790
use of water	conservation	water-saving devices	conservation: water-saving devices	790
water management	best practices	water efficiency	best practices: water efficiency	790
use of water	efficiency	water-saving	efficiency: water-saving	790
use of water	conservation	water-saving technologies	conservation: water-saving technologies	790
anti-pollution device	efficiency	medium	efficiency: medium	791
non-polluting vehicle	efficiency	high efficiency	efficiency: high efficiency	791
anti-pollution device	efficiency	low	efficiency: low	791
anti-pollution device	efficiency	high	efficiency: high	791
protection of plant life	local efforts	community gardens	local efforts: community gardens	792
protection of animals	efforts	community involvement	efforts: community involvement	792
protection of animals	efforts	education	efforts: education	792
countryside conservation	involvement	volunteers	involvement: volunteers	792
protection of plant life	efforts	community engagement	efforts: community engagement	792
prevention of pollution	initiatives	community-based programs	initiatives: community-based programs	792
countryside conservation	involvement	community	involvement: community	792
non-polluting vehicle	emissions	low emissions	emissions: low emissions	793
non-polluting vehicle	emission	zero emissions	emission: zero emissions	793
non-polluting vehicle	emission	low carbon footprint	emission: low carbon footprint	793
non-polluting vehicle	emissions	zero emissions	emissions: zero emissions	793
non-polluting vehicle	emission	reduced emissions	emission: reduced emissions	793
non-polluting vehicle	emissions	reduced emissions	emissions: reduced emissions	793
non-polluting vehicle	emission	low emissions	emission: low emissions	793
non-polluting vehicle	emissions	cleaner emissions	emissions: cleaner emissions	794
environmental standard	elements	emissions	elements: emissions	794
non-polluting vehicle	emission	cleaner emissions	emission: cleaner emissions	794
non-polluting vehicle	emission	clean energy	emission: clean energy	794
non-polluting vehicle	emissions	cleaner air	emissions: cleaner air	794
stratospheric pollutant	sources	vehicle emissions	sources: vehicle emissions	795
stratospheric pollution	sources	vehicle emissions	sources: vehicle emissions	795
motor vehicle pollution	sources	exhaust emissions	sources: exhaust emissions	795
atmospheric pollutant	sources	vehicle exhaust	sources: vehicle exhaust	795
local pollution	causes	traffic emissions	causes: traffic emissions	795
combustion gases	sources	vehicle exhaust	sources: vehicle exhaust	795
local pollution	sources	vehicle emissions	sources: vehicle emissions	795
combustion gases	sources	vehicle emissions	sources: vehicle emissions	795
atmospheric pollution	sources	vehicle emissions	sources: vehicle emissions	795
greenhouse gas	emissions	transportation	emissions: transportation	795
atmospheric pollutant	sources	vehicle emissions	sources: vehicle emissions	795
acid rain	causes	automobile emissions	causes: automobile emissions	795
combustion gases	emission sources	vehicle emissions	emission sources: vehicle emissions	795
combustion gases	emissions sources	vehicles	emissions sources: vehicles	795
atmospheric pollution	causes	vehicle emissions	causes: vehicle emissions	795
acid rain	causes	vehicle emissions	causes: vehicle emissions	795
local pollution	causes	vehicle emissions	causes: vehicle emissions	795
degree of pollution	causes	vehicle emissions	causes: vehicle emissions	795
pollutant	sources	vehicle emissions	sources: vehicle emissions	795
environmental indicator	measured	co2 emissions	measured: co2 emissions	796
waste incineration	emissions	greenhouse gases	emissions: greenhouse gases	796
eu emissions trading scheme	emissions	carbon dioxide	emissions: carbon dioxide	796
motor vehicle pollution	emissions	carbon dioxide	emissions: carbon dioxide	796
waste incineration	emissions	so2	emissions: so2	796
eu emissions trading scheme	emissions coverage	co2	emissions coverage: co2	796
pollutant	examples	co2	examples: co2	796
eu emissions trading scheme	emissions covered	co2	emissions covered: co2	796
waste incineration	emissions	co2	emissions: co2	796
stratospheric pollutant	sources	nitrogen oxides	sources: nitrogen oxides	797
motor vehicle pollution	emissions	carbon monoxide	emissions: carbon monoxide	797
acidification	processes	nitrogen oxide emissions	processes: nitrogen oxide emissions	797
waste incineration	emissions	nox	emissions: nox	797
motor vehicle pollution	emissions	hydrocarbons	emissions: hydrocarbons	797
motor vehicle pollution	emissions	nitrogen oxides	emissions: nitrogen oxides	797
motor vehicle pollution	emissions	volatile organic compounds	emissions: volatile organic compounds	797
acidification	causes	nitrogen oxide emissions	causes: nitrogen oxide emissions	797
eu emissions trading scheme	emissions covered	other greenhouse gases	emissions covered: other greenhouse gases	798
eu emissions trading scheme	emissions coverage	other greenhouse gases	emissions coverage: other greenhouse gases	798
eu emissions trading scheme	scope	other greenhouse gases	scope: other greenhouse gases	798
eu emissions trading scheme	emissions	other greenhouse gases	emissions: other greenhouse gases	798
combustion gases	emissions sources	agriculture	emissions sources: agriculture	799
greenhouse gas	emissions	agriculture	emissions: agriculture	799
greenhouse gas	emission sources	agriculture	emission sources: agriculture	799
combustion gases	emissions sources	residential heating	emissions sources: residential heating	799
environmental education	emphasizes	responsibility	emphasizes: responsibility	800
environmental education	emphasizes	stewardship	emphasizes: stewardship	800
environmental education	emphasizes	interdependence	emphasizes: interdependence	800
climate change policy	emphasises	climate justice	emphasises: climate justice	800
environmental education	emphasizes	interconnectedness	emphasizes: interconnectedness	800
climate change policy	emphasises	economic transition	emphasises: economic transition	800
waste incineration	energy output	steam	energy output: steam	801
waste incineration	energy output	heat	energy output: heat	801
waste incineration	energy output	electricity	energy output: electricity	801
waste incineration	energy output	fuel	energy output: fuel	801
environmental liability	laws and regulations	penalties and fines	laws and regulations: penalties and fines	802
environmental liability	consequences	penalties	consequences: penalties	802
unauthorised dumping	consequences	penalties	consequences: penalties	802
environmental standard	enforcement	penalty	enforcement: penalty	802
eu environmental policy	enforcement	penalties	enforcement: penalties	802
environmental law	enforcement	penalties	enforcement: penalties	802
environmental standard	enforcement	penalties	enforcement: penalties	802
pollution control measures	enforcement	penalties	enforcement: penalties	802
environmental policy	enforcement	penalties	enforcement: penalties	802
hunting regulations	enforcement	penalties	enforcement: penalties	802
environmental law	enforcement	lawsuits	enforcement: lawsuits	802
hunting regulations	enforcement	penalties for violations	enforcement: penalties for violations	802
unauthorised dumping	regulations	penalties	regulations: penalties	802
eu emissions trading scheme	settlement	penalties	settlement: penalties	802
pollution control	enforcement	penalties	enforcement: penalties	802
environmental standard	enforcement	inspections	enforcement: inspections	803
fire protection	practices	fire safety inspections	practices: fire safety inspections	803
eu environmental policy	enforcement	environmental inspections	enforcement: environmental inspections	803
eu environmental policy	instruments	enforcement and inspections	instruments: enforcement and inspections	803
hunting regulations	enforcement	inspections	enforcement: inspections	803
pollution control measures	enforcement	inspections	enforcement: inspections	803
eu environmental policy	enforcement	inspections	enforcement: inspections	803
motor vehicle pollution	control measures	vehicle inspections	control measures: vehicle inspections	803
pollution control measures	regulations	inspections	regulations: inspections	803
food contamination	regulations	inspections	regulations: inspections	803
underground storage of waste	regulations	inspections	regulations: inspections	803
eu environmental policy	enforcement	eu environmental inspections	enforcement: eu environmental inspections	803
pollution control	enforcement	inspections	enforcement: inspections	803
environmental law	types	administrative law	types: administrative law	804
eu environmental policy	enforcement	judicial review	enforcement: judicial review	804
environmental law	implementation	judicial review	implementation: judicial review	804
hunting regulations	enforcement	game wardens	enforcement: game wardens	805
