concept	facet	property	facet_property	cluster_label
mineral resources	concerns	environmental impact	concerns: environmental impact	285
underwater mineral resources	concerns	environmental impact	concerns: environmental impact	285
domestic waste	concerns	environmental impact	concerns: environmental impact	285
polluted area	concerns	environmental protection	concerns: environmental protection	285
caspian sea	environmental concerns	ecological issues	environmental concerns: ecological issues	285
export of waste	concerns	environmental	concerns: environmental	285
pesticide residue	concerns	environmental	concerns: environmental	285
wastewater	concerns	environmental	concerns: environmental	285
electronic waste	concerns	environmental impact	concerns: environmental impact	285
stagnant water	conditions	unmoving	conditions: unmoving	286
stagnant water	physical characteristics	still	physical characteristics: still	286
stagnant water	appearance	still	appearance: still	286
stagnant water	state	still	state: still	286
stagnant water	physical state	still	physical state: still	286
ecological balance	definition	stable state	definition: stable state	286
stagnant water	condition	still	condition: still	286
stagnant water	conditions	still	conditions: still	286
caspian sea	connected to	ural river	connected to: ural river	287
ionian sea	connected to	aegean sea	connected to: aegean sea	287
mediterranean sea	connection	black sea	connection: black sea	287
aegean sea	connected seas	sea of marmara	connected seas: sea of marmara	287
aegean sea	geography	connected to black sea	geography: connected to black sea	287
black sea	connected to	sea of azov	connected to: sea of azov	287
aegean sea	connected to	black sea	connected to: black sea	287
caspian sea	connected to	black sea	connected to: black sea	287
aegean sea	connected to	sea of marmara	connected to: sea of marmara	287
aegean sea	geography	connects to black sea	geography: connects to black sea	287
aegean sea	connected seas	black sea	connected seas: black sea	287
norwegian sea	connected seas	barents sea	connected seas: barents sea	288
baltic sea	size	connected to north sea	size: connected to north sea	288
baltic sea	connected to	north sea	connected to: north sea	288
english channel	connected to	north sea	connected to: north sea	288
norwegian sea	connected to	north sea	connected to: north sea	288
norwegian sea	location	north sea	location: north sea	288
norwegian sea	connected to	scandinavian waters	connected to: scandinavian waters	288
english channel	connection	north sea	connection: north sea	288
english channel	connection	part of north sea	connection: part of north sea	288
norwegian sea	connected to	barents sea	connected to: barents sea	288
north sea	connected to	baltic sea	connected to: baltic sea	288
norwegian sea	connected seas	north sea	connected seas: north sea	288
baltic sea	connected to	white sea	connected to: white sea	288
atlantic ocean	connection	connects to arctic ocean	connection: connects to arctic ocean	288
norwegian sea	connection to	north sea	connection to: north sea	288
north sea	connection	baltic sea	connection: baltic sea	288
baltic sea	connected to	gulf of finland	connected to: gulf of finland	288
north sea	connected to	wadden sea	connected to: wadden sea	288
north sea	connection	wadden sea	connection: wadden sea	288
norwegian sea	connection to	other parts of the north atlantic	connection to: other parts of the north atlantic	288
irish sea	connection	links to the atlantic ocean	connection: links to the atlantic ocean	289
irish sea	connection	connects to the north sea	connection: connects to the north sea	289
aegean sea	connection	links mediterranean sea to black sea	connection: links mediterranean sea to black sea	289
ligurian sea	characteristics	popular for sailing	characteristics: popular for sailing	289
norwegian sea	connection to other bodies of water	connects to north atlantic ocean	connection to other bodies of water: connects to north atlantic ocean	289
ionian sea	characteristics	popular for sailing	characteristics: popular for sailing	289
english channel	connection	between uk and france	connection: between uk and france	289
atlantic ocean	connection	connects to indian ocean	connection: connects to indian ocean	289
irish sea	connection	connects to atlantic ocean	connection: connects to atlantic ocean	289
english channel	connection	atlantic ocean	connection: atlantic ocean	289
english channel	crossings	channel tunnel	crossings: channel tunnel	289
mediterranean sea	connection	atlantic ocean	connection: atlantic ocean	289
atlantic ocean	connection	connects to pacific ocean	connection: connects to pacific ocean	289
pacific ocean	connected to	atlantic ocean	connected to: atlantic ocean	289
baltic sea	connected to	atlantic ocean	connected to: atlantic ocean	289
north sea	connected to	atlantic ocean	connected to: atlantic ocean	289
english channel	connected to	atlantic ocean	connected to: atlantic ocean	289
norwegian sea	connected to	atlantic ocean	connected to: atlantic ocean	289
arctic ocean	connected to	atlantic ocean	connected to: atlantic ocean	289
irish sea	connection	connects to irish coast	connection: connects to irish coast	289
norwegian sea	connection to	atlantic ocean	connection to: atlantic ocean	289
north sea	connection	atlantic ocean	connection: atlantic ocean	289
mediterranean sea	connection	red sea	connection: red sea	290
red sea	connected to	suez canal	connected to: suez canal	290
red sea	connection	gulf of aqaba	connection: gulf of aqaba	290
red sea	connection	suez canal	connection: suez canal	290
red sea	connection	gulf of suez	connection: gulf of suez	290
red sea	geography	part of suez canal	geography: part of suez canal	290
red sea	connected to	gulf of suez	connected to: gulf of suez	290
ligurian sea	connection	connects to tyrrhenian sea	connection: connects to tyrrhenian sea	291
tyrrhenian sea	connected to	ionian sea	connected to: ionian sea	291
adriatic sea	connection	connected to mediterranean sea	connection: connected to mediterranean sea	291
red sea	connection	mediterranean sea	connection: mediterranean sea	291
ionian sea	connection to	greek islands	connection to: greek islands	291
ionian sea	connection to	albanian coast	connection to: albanian coast	291
ionian sea	connection to	italian coast	connection to: italian coast	291
tyrrhenian sea	connected to	adriatic sea	connected to: adriatic sea	291
ionian sea	connected to	tyrrhenian sea	connected to: tyrrhenian sea	291
tyrrhenian sea	connection	connects to the ionian sea	connection: connects to the ionian sea	291
ligurian sea	connection	connected to the tyrrhenian sea	connection: connected to the tyrrhenian sea	291
ionian sea	connected to	adriatic sea	connected to: adriatic sea	291
ligurian sea	connected to	tyrrhenian sea	connected to: tyrrhenian sea	291
adriatic sea	connection	connected to ionian sea	connection: connected to ionian sea	291
tyrrhenian sea	connection	connects to the strait of messina	connection: connects to the strait of messina	291
ligurian sea	connection	connects to corsica	connection: connects to corsica	291
use of water	availability	scarcity	availability: scarcity	292
water management	concerns	scarcity	concerns: scarcity	292
exhaustion of resources	effects	scarcity	effects: scarcity	292
over-exploitation of resources	indicators	resource scarcity	indicators: resource scarcity	292
resource management	challenges	scarcity	challenges: scarcity	292
management of resources	challenges	scarcity	challenges: scarcity	292
exhaustion of resources	consequence	scarcity	consequence: scarcity	292
exhaustion of resources	effect	scarcity	effect: scarcity	292
water management	challenge	scarcity	challenge: scarcity	292
water	human impact	scarcity	human impact: scarcity	292
exhaustion of resources	consequences	scarcity	consequences: scarcity	292
exhaustion of resources	consequence	shortage	consequence: shortage	292
water management	challenges	scarcity	challenges: scarcity	292
marine pollution	impact	economic losses	impact: economic losses	293
coastal pollution	impact	economic losses	impact: economic losses	293
degradation of the environment	impact	economic losses	impact: economic losses	293
climate change	impact	economic losses	impact: economic losses	293
cost of pollution	impact	economic losses	impact: economic losses	293
degradation of the environment	consequences	economic losses	consequences: economic losses	293
fight against insects	consequences	economic losses	consequences: economic losses	293
over-exploitation of resources	consequences	economic losses	consequences: economic losses	293
environmental degradation	consequences	economic losses	consequences: economic losses	293
acid rain	consequences	economic losses	consequences: economic losses	293
oil pollution	consequences	economic losses	consequences: economic losses	293
organic pollution	consequences	economic losses	consequences: economic losses	293
degree of pollution	consequences	economic losses	consequences: economic losses	293
environmental impact	consequences	economic losses	consequences: economic losses	293
thermal pollution	impact	economic losses	impact: economic losses	293
desertification	consequences	economic losses	consequences: economic losses	293
industrial hazard	consequences	financial loss	consequences: financial loss	293
cost of pollution	social impact	reduced quality of life	social impact: reduced quality of life	293
atmospheric pollutant	economic impacts	lost productivity	economic impacts: lost productivity	293
cost of pollution	economic	lost productivity	economic: lost productivity	293
destruction of crops	result	loss of yield	result: loss of yield	293
water pollution	consequence	economic losses	consequence: economic losses	293
environmental liability	consequence	economic losses	consequence: economic losses	293
climate change	consequence	economic losses	consequence: economic losses	293
cost of pollution	economic impact	loss of productivity	economic impact: loss of productivity	293
fight against insects	causes	economic loss	causes: economic loss	293
cyclone	impact	causes economic loss	impact: causes economic loss	293
risk prevention	consequences	loss	consequences: loss	293
thermal pollution	consequences	economic losses	consequences: economic losses	293
coastal pollution	effect	economic damage	effect: economic damage	293
accidental pollution	effect	economic damage	effect: economic damage	293
pollution of waterways	consequences	economic damage	consequences: economic damage	293
environmental impact	consequences	economic damage	consequences: economic damage	293
marine pollution	consequences	economic damage	consequences: economic damage	293
oil pollution	consequences	economic damage	consequences: economic damage	293
marine pollution	consequence	economic damage	consequence: economic damage	293
unauthorised dumping	consequences	financial loss	consequences: financial loss	293
soil pollution	consequences	economic losses	consequences: economic losses	293
global warming	consequences	economic losses	consequences: economic losses	293
food contamination	consequences	economic losses	consequences: economic losses	293
exploitation of the seas	consequences	economic losses	consequences: economic losses	293
pollution control	consequences	economic losses	consequences: economic losses	293
pollution control	consequences	reduced quality of life	consequences: reduced quality of life	293
polluted area	effect	economic loss	effect: economic loss	293
exploitation of the seas	effect	economic loss	effect: economic loss	293
marine pollution	effect	economic loss	effect: economic loss	293
destruction of crops	effect	economic loss	effect: economic loss	293
atmospheric pollutant	consequences	economic losses	consequences: economic losses	293
natural disaster	effect	economic loss	effect: economic loss	293
agricultural disaster	effect	economic loss	effect: economic loss	293
water pollution	effect	economic loss	effect: economic loss	293
accidental pollution	effect	economic loss	effect: economic loss	293
environmental liability	effect	economic losses	effect: economic losses	293
water pollution	effect	economic losses	effect: economic losses	293
local pollution	effect	economic losses	effect: economic losses	293
drought	consequence	economic loss	consequence: economic loss	293
oil pollution	effect	economic loss	effect: economic loss	293
atmospheric pollution	consequences	economic losses	consequences: economic losses	293
pollution of waterways	consequences	economic losses	consequences: economic losses	293
water pollution	consequences	economic losses	consequences: economic losses	293
water pollutant	consequences	economic losses	consequences: economic losses	293
environmental liability	consequences	economic losses	consequences: economic losses	293
unauthorised dumping	consequences	economic losses	consequences: economic losses	293
local pollution	consequences	economic losses	consequences: economic losses	293
prevention of pollution	consequences	economic losses	consequences: economic losses	293
noise pollution	consequences	economic losses	consequences: economic losses	293
pollution from agricultural sources	consequences	economic losses	consequences: economic losses	293
marine pollution	consequences	economic losses	consequences: economic losses	293
metal pollution	consequences	economic losses	consequences: economic losses	293
pollution	consequences	economic losses	consequences: economic losses	293
drought	consequences	economic losses	consequences: economic losses	293
pollution from land-based sources	consequences	economic losses	consequences: economic losses	293
electronic waste	consequences	economic losses	consequences: economic losses	293
industrial pollution	consequences	economic losses	consequences: economic losses	293
pollution from ships	consequences	economic losses	consequences: economic losses	293
polluted area	consequences	economic losses	consequences: economic losses	293
chemical pollution	consequences	economic losses	consequences: economic losses	293
climate change	consequences	economic losses	consequences: economic losses	293
deforestation	consequence	economic loss	consequence: economic loss	293
climate change	consequence	economic loss	consequence: economic loss	293
oil pollution	consequence	economic loss	consequence: economic loss	293
pollution from ships	consequences	economic loss	consequences: economic loss	293
chemical pollution	consequences	economic loss	consequences: economic loss	293
polluted area	consequences	economic loss	consequences: economic loss	293
oil pollution	consequences	economic loss	consequences: economic loss	293
soil pollution	consequences	economic loss	consequences: economic loss	293
fight against insects	consequences	economic loss	consequences: economic loss	293
accidental pollution	consequences	economic loss	consequences: economic loss	293
water pollutant	consequences	economic loss	consequences: economic loss	293
food contamination	consequences	economic loss	consequences: economic loss	293
polluted area	effects	economic loss	effects: economic loss	293
degree of pollution	effects	economic loss	effects: economic loss	293
oil pollution	effects	economic loss	effects: economic loss	293
prevention of pollution	effects	economic loss	effects: economic loss	293
pollution	effects	economic loss	effects: economic loss	293
accidental pollution	effects	economic loss	effects: economic loss	293
exploitation of the seas	effects	economic damage	effects: economic damage	293
agricultural disaster	effects	economic loss	effects: economic loss	293
water pollution	consequences	economic loss	consequences: economic loss	293
local pollution	consequences	economic loss	consequences: economic loss	293
pollution control	consequences	economic loss	consequences: economic loss	293
desertification	consequence	economic loss	consequence: economic loss	293
industrial pollution	consequences	economic loss	consequences: economic loss	293
coastal pollution	consequences	economic loss	consequences: economic loss	293
defoliation	consequences	economic loss	consequences: economic loss	293
drought	consequences	economic loss	consequences: economic loss	293
desertification	consequences	economic loss	consequences: economic loss	293
eutrophication	consequences	economic loss	consequences: economic loss	293
natural disaster	consequences	economic loss	consequences: economic loss	293
disaster area	consequences	economic loss	consequences: economic loss	293
destruction of crops	consequences	economic loss	consequences: economic loss	293
fight against wastage	consequences	economic loss	consequences: economic loss	293
thermal pollution	consequences	economic loss	consequences: economic loss	293
volcanic eruption	consequences	economic loss	consequences: economic loss	293
metal pollution	consequences	economic loss	consequences: economic loss	293
pollution	consequences	economic loss	consequences: economic loss	293
pollution of waterways	consequences	economic loss	consequences: economic loss	293
man-made disaster	consequences	economic loss	consequences: economic loss	293
natural disaster	effects	economic damage	effects: economic damage	293
coastal pollution	effects	economic damage	effects: economic damage	293
unauthorised dumping	consequences	economic loss	consequences: economic loss	293
pollution from land-based sources	impact	economic loss	impact: economic loss	293
degree of pollution	effects	economic losses	effects: economic losses	293
erosion	effects	economic losses	effects: economic losses	293
pollution from ships	effects	economic losses	effects: economic losses	293
industrial pollution	effects	economic losses	effects: economic losses	293
polluted area	effects	economic losses	effects: economic losses	293
exploitation of the seas	effects	economic losses	effects: economic losses	293
pollution of waterways	effects	economic losses	effects: economic losses	293
marine pollution	effects	economic losses	effects: economic losses	293
unauthorised dumping	effects	economic losses	effects: economic losses	293
flood	effect	loss of property	effect: loss of property	293
fight against wastage	consequences of waste	economic loss	consequences of waste: economic loss	293
industrial hazard	consequence	financial loss	consequence: financial loss	293
disaster area	long-term impact	economic loss	long-term impact: economic loss	293
accidental pollution	consequence	economic loss	consequence: economic loss	293
man-made disaster	consequence	economic loss	consequence: economic loss	293
natural disaster	impact	economic devastation	impact: economic devastation	293
prevention of pollution	effects	economic losses	effects: economic losses	293
pollution from land-based sources	effects	economic losses	effects: economic losses	293
food contamination	consequence	financial loss	consequence: financial loss	293
environmental degradation	consequences	loss of livelihoods	consequences: loss of livelihoods	293
man-made disaster	impact	economic loss	impact: economic loss	293
local pollution	effects	economic losses	effects: economic losses	293
industrial waste	impact	economic loss	impact: economic loss	293
unauthorised dumping	impact	economic loss	impact: economic loss	293
pollution	impact	economic loss	impact: economic loss	293
atmospheric pollution	impact	economic loss	impact: economic loss	293
fight against wastage	impact	economic loss	impact: economic loss	293
destruction of crops	impact	economic loss	impact: economic loss	293
agricultural disaster	impact	economic loss	impact: economic loss	293
fight against wastage	impact of waste	economic loss	impact of waste: economic loss	293
marine pollution	consequence	tourism decline	consequence: tourism decline	293
cost of pollution	global scale	trillion-dollar losses	global scale: trillion-dollar losses	293
environmental liability	consequences	financial penalties	consequences: financial penalties	293
fight against insects	concern	economic loss	concern: economic loss	293
natural disaster	impact	economic damage	impact: economic damage	293
desertification	impact	economic loss	impact: economic loss	293
risk prevention	consequences of failure	financial loss	consequences of failure: financial loss	293
chemical pollution	effects	environmental degradation	effects: environmental degradation	294
local pollution	effects	ecological damage	effects: ecological damage	294
acid rain	effects	ecological damage	effects: ecological damage	294
polluter pays principle	definition	environmental damages	definition: environmental damages	294
pollution	effects	ecosystem damage	effects: ecosystem damage	294
environmental liability	nature	ecological damage	nature: ecological damage	294
pollution from agricultural sources	effects	environmental harm	effects: environmental harm	294
environmental liability	type	ecological damage	type: ecological damage	294
industrial waste	effects on environment	ecological damage	effects on environment: ecological damage	294
water pollutant	effects	ecological damage	effects: ecological damage	294
pollution	effects	environmental degradation	effects: environmental degradation	294
industrial pollution	effects	ecosystem damage	effects: ecosystem damage	294
industrial pollution	effects	ecological damage	effects: ecological damage	294
metal pollution	effects	ecological damage	effects: ecological damage	294
pesticide residue	effects	ecological damage	effects: ecological damage	294
chemical waste	effects	ecological damage	effects: ecological damage	294
atmospheric pollution	effects	ecological damage	effects: ecological damage	294
drought	effects	ecological damage	effects: ecological damage	294
pollution from land-based sources	effects	ecological damage	effects: ecological damage	294
atmospheric pollutant	effects	ecological damage	effects: ecological damage	294
oil pollution	effects	ecological damage	effects: ecological damage	294
prevention of pollution	effects	ecological damage	effects: ecological damage	294
stratospheric pollution	effects	ecological damage	effects: ecological damage	294
polluted area	effects	ecological damage	effects: ecological damage	294
pollution of waterways	effects	ecological damage	effects: ecological damage	294
exhaustion of resources	effects	environmental degradation	effects: environmental degradation	294
pollution	effects	ecological damage	effects: ecological damage	294
degree of pollution	effects	ecological damage	effects: ecological damage	294
metal pollution	effects	environmental degradation	effects: environmental degradation	294
pollution from land-based sources	impact	ecological damage	impact: ecological damage	294
coastal pollution	consequences	damage to tourism	consequences: damage to tourism	294
chemical pollution	effects	ecological damage	effects: ecological damage	294
oil pollution	effect	ecological damage	effect: ecological damage	294
metal pollution	effect	ecological damage	effect: ecological damage	294
water pollution	effect	ecological damage	effect: ecological damage	294
stratospheric pollution	effect	ecological damage	effect: ecological damage	294
chemical pollution	effect	ecological damage	effect: ecological damage	294
local pollution	effect	ecological damage	effect: ecological damage	294
thermal pollution	impact	ecological damage	impact: ecological damage	294
agricultural disaster	impact	ecological damage	impact: ecological damage	294
pollution from ships	impact	ecological damage	impact: ecological damage	294
dangerous substance	impact	ecological damage	impact: ecological damage	294
industrial pollution	impact	ecological damage	impact: ecological damage	294
chemical waste	impact	ecological damage	impact: ecological damage	294
marine pollution	impact	ecological damage	impact: ecological damage	294
wastewater	impact	ecological damage	impact: ecological damage	294
pollution from agricultural sources	impact	ecological damage	impact: ecological damage	294
metal waste	impact	ecological damage	impact: ecological damage	294
cost of pollution	economic	damage to crops	economic: damage to crops	294
cost of pollution	environmental	ecological damage	environmental: ecological damage	294
quality of the environment	human impact	environmental degradation	human impact: environmental degradation	294
disaster area	environmental impact	destruction of infrastructure	environmental impact: destruction of infrastructure	294
pollution of waterways	effect	ecological damage	effect: ecological damage	294
cost of pollution	global scale	irreversible damage	global scale: irreversible damage	294
fight against wastage	impact of waste	environmental damage	impact of waste: environmental damage	294
exploitation of the seas	consequences	damage to ecosystems	consequences: damage to ecosystems	294
pollution	impact	environmental degradation	impact: environmental degradation	294
reduction of gas emissions	impact	environmental degradation	impact: environmental degradation	294
over-exploitation of resources	effects	environmental degradation	effects: environmental degradation	294
water pollution	effects	ecological damage	effects: ecological damage	294
over-exploitation of resources	definition	environmental damage	definition: environmental damage	294
environmental liability	definition	ecological damage	definition: ecological damage	294
exhaustion of resources	consequences	environmental damage	consequences: environmental damage	294
exploitation of resources	consequences	environmental damage	consequences: environmental damage	294
pollution control	consequences	environmental damage	consequences: environmental damage	294
dangerous substance	consequences	environmental harm	consequences: environmental harm	294
polluter pays principle	definition	environmental damage	definition: environmental damage	294
defoliation	agricultural relevance	crop damage	agricultural relevance: crop damage	294
atmospheric pollutant	effects	environmental damage	effects: environmental damage	294
acidification	effects	environmental damage	effects: environmental damage	294
pollution from ships	effects	environmental damage	effects: environmental damage	294
noise pollution	effects	environmental damage	effects: environmental damage	294
agricultural disaster	effects	environmental damage	effects: environmental damage	294
toxic substance	effects	environmental damage	effects: environmental damage	294
over-exploitation of resources	effects	environmental damage	effects: environmental damage	294
motor vehicle pollution	effects	environmental damage	effects: environmental damage	294
accidental pollution	effects	environmental damage	effects: environmental damage	294
metal pollution	effects	environmental damage	effects: environmental damage	294
pollution	effects	environmental damage	effects: environmental damage	294
erosion	effects	environmental damage	effects: environmental damage	294
chemical pollution	effects	environmental damage	effects: environmental damage	294
local pollution	effects	environmental damage	effects: environmental damage	294
radioactive pollution	effects	environmental damage	effects: environmental damage	294
water pollutant	effects	environmental damage	effects: environmental damage	294
pollutant	effects	environmental damage	effects: environmental damage	294
exhaustion of resources	effects	environmental damage	effects: environmental damage	294
reduction of gas emissions	effects	environmental damage	effects: environmental damage	294
man-made disaster	consequences	environmental harm	consequences: environmental harm	294
polluted area	effect	ecological damage	effect: ecological damage	294
pollution of waterways	consequences	environmental damage	consequences: environmental damage	294
exploitation of the sea-bed	consequences	environmental damage	consequences: environmental damage	294
waste management	consequences	environmental damage	consequences: environmental damage	294
pollution	consequences	environmental damage	consequences: environmental damage	294
toxic substance	consequences	ecological harm	consequences: ecological harm	294
stagnant water	consequences	ecological harm	consequences: ecological harm	294
atmospheric pollution	consequences	environmental damage	consequences: environmental damage	294
dumping of waste	consequences	environmental damage	consequences: environmental damage	294
industrial pollution	consequences	environmental damage	consequences: environmental damage	294
over-exploitation of resources	consequences	environmental damage	consequences: environmental damage	294
drought	consequences	environmental damage	consequences: environmental damage	294
acid rain	consequences	environmental damage	consequences: environmental damage	294
natural disaster	consequences	environmental damage	consequences: environmental damage	294
water pollution	consequences	environmental damage	consequences: environmental damage	294
metal pollution	consequences	environmental damage	consequences: environmental damage	294
electronic waste	consequences	environmental damage	consequences: environmental damage	294
disaster area	consequences	environmental damage	consequences: environmental damage	294
stratospheric pollutant	effects	ecological damage	effects: ecological damage	294
organic pollution	consequences	environmental damage	consequences: environmental damage	294
thermal discharge	consequences	environmental damage	consequences: environmental damage	294
noise pollution	consequences	environmental damage	consequences: environmental damage	294
water pollutant	consequences	environmental damage	consequences: environmental damage	294
soil pollution	consequences	environmental damage	consequences: environmental damage	294
volcanic eruption	consequences	environmental damage	consequences: environmental damage	294
pollution from ships	consequences	environmental damage	consequences: environmental damage	294
waste disposal	consequences	environmental damage	consequences: environmental damage	294
oil pollution	consequences	environmental damage	consequences: environmental damage	294
man-made disaster	consequences	environmental damage	consequences: environmental damage	294
local pollution	consequences	environmental damage	consequences: environmental damage	294
unauthorised dumping	consequences	environmental damage	consequences: environmental damage	294
accidental pollution	consequences	environmental damage	consequences: environmental damage	294
pollution from agricultural sources	consequences	environmental damage	consequences: environmental damage	294
thermal pollution	consequences	environmental damage	consequences: environmental damage	294
exhaustion of resources	related concepts	environmental degradation	related concepts: environmental degradation	294
cost of pollution	impact	ecosystem damage	impact: ecosystem damage	294
metal pollution	consequence	environmental degradation	consequence: environmental degradation	294
agricultural disaster	consequence	environmental damage	consequence: environmental damage	294
water pollution	consequence	environmental damage	consequence: environmental damage	294
exhaustion of resources	consequence	environmental damage	consequence: environmental damage	294
accidental pollution	consequence	environmental damage	consequence: environmental damage	294
drought	consequence	environmental damage	consequence: environmental damage	294
cost of pollution	examples	climate change damages	examples: climate change damages	294
natural disaster	impact	environmental damage	impact: environmental damage	294
waste	impact	environmental damage	impact: environmental damage	294
man-made disaster	impact	environmental damage	impact: environmental damage	294
pollution from ships	impact	environmental damage	impact: environmental damage	294
natural hazard	impact	environmental damage	impact: environmental damage	294
non-recoverable waste	impact	environmental damage	impact: environmental damage	294
thermal pollution	impact	environmental damage	impact: environmental damage	294
exploitation of the sea-bed	impact	environmental damage	impact: environmental damage	294
coastal pollution	impact	environmental damage	impact: environmental damage	294
pollution	impact	environmental damage	impact: environmental damage	294
accidental pollution	impact	environmental damage	impact: environmental damage	294
industrial waste	impact	environmental damage	impact: environmental damage	294
agricultural disaster	impact	environmental damage	impact: environmental damage	294
atmospheric pollution	impact	environmental damage	impact: environmental damage	294
acid rain	impact	environmental damage	impact: environmental damage	294
fight against wastage	impact	environmental damage	impact: environmental damage	294
exploitation of resources	impact	environmental damage	impact: environmental damage	294
dumping of waste	impact	environmental damage	impact: environmental damage	294
destruction of crops	impact	environmental damage	impact: environmental damage	294
defoliation	cause	environmental stress	cause: environmental stress	294
cost of pollution	ecological damage	climate change	ecological damage: climate change	294
oil pollution	consequence	environmental damage	consequence: environmental damage	294
man-made disaster	consequence	environmental damage	consequence: environmental damage	294
industrial hazard	consequence	environmental damage	consequence: environmental damage	294
over-exploitation of resources	consequence	environmental damage	consequence: environmental damage	294
exhaustion of resources	environmental impact	damage	environmental impact: damage	294
waste disposal	consequences	environmental degradation	consequences: environmental degradation	294
exhaustion of resources	consequences	environmental degradation	consequences: environmental degradation	294
soil pollution	consequences	environmental degradation	consequences: environmental degradation	294
water pollution	consequences	environmental degradation	consequences: environmental degradation	294
prevention of pollution	consequences	environmental degradation	consequences: environmental degradation	294
dumping of waste	consequences	environmental degradation	consequences: environmental degradation	294
pollution of waterways	consequences	environmental degradation	consequences: environmental degradation	294
pollution	consequences	environmental degradation	consequences: environmental degradation	294
drought	consequences	environmental degradation	consequences: environmental degradation	294
industrial pollution	consequences	environmental degradation	consequences: environmental degradation	294
atmospheric pollutant	consequences	environmental degradation	consequences: environmental degradation	294
agricultural disaster	consequences	environmental degradation	consequences: environmental degradation	294
atmospheric pollutant	effect	ecosystem damage	effect: ecosystem damage	294
exploitation of the seas	consequences	environmental degradation	consequences: environmental degradation	294
chemical pollution	consequences	environmental degradation	consequences: environmental degradation	294
erosion	importance	ecological damage	importance: ecological damage	294
destruction of crops	effect	environmental damage	effect: environmental damage	294
water pollution	effect	environmental damage	effect: environmental damage	294
chemical pollution	effect	environmental damage	effect: environmental damage	294
natural hazard	effect	environmental damage	effect: environmental damage	294
oil pollution	effect	environmental damage	effect: environmental damage	294
industrial hazard	effect	environmental damage	effect: environmental damage	294
agricultural disaster	effect	environmental damage	effect: environmental damage	294
exhaustion of resources	effect	environmental damage	effect: environmental damage	294
accidental pollution	effect	environmental damage	effect: environmental damage	294
cost of pollution	environmental damage	climate change	environmental damage: climate change	294
cost of pollution	economic	environmental damage	economic: environmental damage	294
pollution from land-based sources	consequences	environmental degradation	consequences: environmental degradation	294
pollution	effect	ecosystem damage	effect: ecosystem damage	294
over-exploitation of resources	consequences	environmental degradation	consequences: environmental degradation	294
industrial pollution	consequences	ecological damage	consequences: ecological damage	294
polluted area	consequences	ecological damage	consequences: ecological damage	294
atmospheric pollutant	consequences	ecological damage	consequences: ecological damage	294
radioactive pollution	consequences	ecological damage	consequences: ecological damage	294
eutrophication	consequences	ecological damage	consequences: ecological damage	294
accidental pollution	consequences	ecological damage	consequences: ecological damage	294
acid rain	consequences	ecological damage	consequences: ecological damage	294
water pollutant	consequences	ecological damage	consequences: ecological damage	294
coastal protection	environmental impact	water quality degradation	environmental impact: water quality degradation	294
motor vehicle pollution	environmental impact	air quality degradation	environmental impact: air quality degradation	294
hazardous waste	environmental impact	ecological damage	environmental impact: ecological damage	294
non-recoverable waste	environmental impact	ecological damage	environmental impact: ecological damage	294
disaster area	environmental impact	ecological damage	environmental impact: ecological damage	294
wastewater	environmental impact	ecological damage	environmental impact: ecological damage	294
industrial waste	environmental impact	ecological damage	environmental impact: ecological damage	294
chemical waste	environmental impact	ecological damage	environmental impact: ecological damage	294
radioactive waste	environmental impact	ecological damage	environmental impact: ecological damage	294
pollution control	environmental impact	ecological damage	environmental impact: ecological damage	294
radioactive effluent	environmental impact	ecological damage	environmental impact: ecological damage	294
cost of pollution	economic impact	environmental damage	economic impact: environmental damage	294
risk prevention	consequences of failure	environmental damage	consequences of failure: environmental damage	294
accidental pollution	consequence	ecological damage	consequence: ecological damage	294
chemical waste	impact on environment	ecological damage	impact on environment: ecological damage	294
non-recoverable waste	impact on environment	ecological damage	impact on environment: ecological damage	294
atmospheric pollutant	economic impacts	environmental damage	economic impacts: environmental damage	294
dumping of waste	problems	ecological damage	problems: ecological damage	294
man-made disaster	consequences	ecological damage	consequences: ecological damage	294
agricultural disaster	consequence	environmental degradation	consequence: environmental degradation	294
chemical pollution	consequences	ecological damage	consequences: ecological damage	294
electronic waste	consequences	ecological damage	consequences: ecological damage	294
marine pollution	consequence	ecological damage	consequence: ecological damage	294
pollution control	consequences	ecological damage	consequences: ecological damage	294
ozone	consequences	ecological damage	consequences: ecological damage	294
atmospheric pollution	consequences	ecological damage	consequences: ecological damage	294
pollution from ships	consequences	ecological damage	consequences: ecological damage	294
greenhouse effect	consequences	ecological damage	consequences: ecological damage	294
motor vehicle pollution	consequences	ecological damage	consequences: ecological damage	294
desertification	consequences	ecological damage	consequences: ecological damage	294
drought	consequences	ecological damage	consequences: ecological damage	294
degree of pollution	consequences	ecological damage	consequences: ecological damage	294
environmental impact	consequences	ecological damage	consequences: ecological damage	294
over-exploitation of resources	consequences	ecological damage	consequences: ecological damage	294
coastal pollution	consequences	ecological damage	consequences: ecological damage	294
stagnant water	consequences	ecological damage	consequences: ecological damage	294
environmental degradation	consequences	ecological damage	consequences: ecological damage	294
soil pollution	consequences	ecological damage	consequences: ecological damage	294
environmental liability	consequences	ecological damage	consequences: ecological damage	294
non-recoverable waste	consequences	ecological damage	consequences: ecological damage	294
thermal discharge	consequences	ecological damage	consequences: ecological damage	294
metal pollution	consequences	ecological damage	consequences: ecological damage	294
