concept	facet	property
deepwater port	location	marine
deepwater port	infrastructure	large dock
deepwater port	infrastructure	deep water
deepwater port	infrastructure	loading facility
deepwater port	size	large
deepwater port	size	small
deepwater port	size	medium
deepwater port	type	commercial
deepwater port	type	military
deepwater port	type	industrial
deepwater port	features	locks
deepwater port	features	canals
deepwater port	features	warehouses
deepwater port	importance	economic
deepwater port	importance	strategic
deepwater port	importance	environmental
deepwater port	management	government
deepwater port	management	private company
deepwater port	management	public-private partnership
railcar carrier ship	function	transporting railcars
railcar carrier ship	function	shipping goods
railcar carrier ship	size	large
railcar carrier ship	size	long
railcar carrier ship	design	specialized
railcar carrier ship	design	custom-made
railcar carrier ship	capacity	hundreds of railcars
railcar carrier ship	operation	oceanic
railcar carrier ship	operation	coastal
railcar carrier ship	used for	reducing congestion
railcar carrier ship	used for	increasing efficiency
railcar carrier ship	components	railway tracks
railcar carrier ship	components	cranes
railcar carrier ship	components	winches
freight car	purpose	transport goods
freight car	purpose	move cargo
freight car	purpose	haul freight
freight car	type	boxcar
freight car	type	tank car
freight car	type	flatcar
freight car	type	gondola
freight car	size	varies by type
freight car	material	steel
freight car	material	aluminum
freight car	features	doors
freight car	features	vents
freight car	features	couplers
freight car	features	brakes
freight car	used in	railway transportation
freight car	used in	industry
freight car	used in	commerce
freight car	characteristics	strong
freight car	characteristics	durable
freight car	characteristics	heavy
freight car	characteristics	long
cubic foot	unit of measurement	volume
cubic foot	unit of measurement	capacity
cubic foot	definition	3-dimensional space
cubic foot	definition	12 inches by 12 inches by 12 inches
cubic foot	common usage	measuring space
cubic foot	common usage	measuring volume of objects
cubic foot	conversion	equal to 1728 cubic inches
cubic foot	conversion	equal to 28.316 liters
cubic foot	application	construction
cubic foot	application	furniture
cubic foot	application	shipping
cubic foot	notation	ft³
cubic foot	notation	cu ft
rolling stock	type	locomotive
rolling stock	type	carriage
rolling stock	type	wagon
rolling stock	function	transporting goods
rolling stock	function	transporting passengers
rolling stock	size	large
rolling stock	size	small
rolling stock	material	steel
rolling stock	material	aluminum
rolling stock	speed	fast
rolling stock	speed	slow
rolling stock	used in	railway
rolling stock	used in	industry
rolling stock	used in	tourism
rolling stock	location	train yard
rolling stock	location	station
rolling stock	location	track
ship berth	purpose	docking
ship berth	purpose	mooring
ship berth	purpose	storing
ship berth	location	harbor
ship berth	location	port
ship berth	location	quay
ship berth	features	fixed
ship berth	features	floating
ship berth	features	anchored
ship berth	used for	shipping
ship berth	used for	cruise
ship berth	used for	recreation
ship berth	design	fixed structure
ship berth	design	movable
ship berth	design	floating
ship berth	maintenance	regularly cleaned
ship berth	maintenance	inspected
ship berth	maintenance	maintained
land vehicle	type	car
land vehicle	type	truck
land vehicle	type	motorcycle
land vehicle	type	bus
land vehicle	type	train
land vehicle	number of wheels	four
land vehicle	number of wheels	two
land vehicle	number of wheels	six
land vehicle	propulsion	engine
land vehicle	propulsion	electric
land vehicle	propulsion	human power
land vehicle	used for	transportation
land vehicle	used for	recreation
land vehicle	used for	military
land vehicle	speed	high
land vehicle	speed	low
land vehicle	speed	variable
land vehicle	features	air conditioning
land vehicle	features	sunroof
land vehicle	features	gps
land vehicle	features	suspension
land vehicle	environment	road
land vehicle	environment	track
land vehicle	environment	off-road
land vehicle	environment	water
land vehicle	construction	metal
land vehicle	construction	plastic
land vehicle	construction	wood
land vehicle	construction	fiberglass
navigation buoy	purpose	aid navigation
navigation buoy	purpose	mark hazards
navigation buoy	purpose	assist anchoring
navigation buoy	material	metal
navigation buoy	material	plastic
navigation buoy	material	buoyant material
navigation buoy	shape	cylindrical
navigation buoy	shape	spherical
navigation buoy	size	varies
navigation buoy	size	typically large
navigation buoy	color	red
navigation buoy	color	white
navigation buoy	color	yellow
navigation buoy	function	provide visual warning
navigation buoy	function	indicate safe passage
navigation buoy	function	mark location
navigation buoy	location	waterways
navigation buoy	location	harbors
navigation buoy	location	open sea
tank car	type	railway vehicle
tank car	type	transportation
tank car	function	carrying liquids
tank car	function	carrying gases
tank car	function	carrying solids
tank car	design	large capacity
tank car	design	specialized construction
tank car	usage	transporting oil
tank car	usage	transporting chemicals
tank car	usage	transporting food
tank car	features	separate compartments
tank car	features	specialized valves
tank car	safety considerations	leak-proof
tank car	safety considerations	leak-detection systems
tank car	maintenance requirements	regular inspection
tank car	maintenance requirements	specialized cleaning
railroad bridge	function	connects two areas
railroad bridge	function	allows train passage
railroad bridge	function	spans a gap
railroad bridge	structure	built from steel
railroad bridge	structure	built from concrete
railroad bridge	structure	built from wood
railroad bridge	location	over a river
railroad bridge	location	over a valley
railroad bridge	location	over a highway
railroad bridge	design	arched
railroad bridge	design	beam
railroad bridge	design	truss
railroad bridge	construction	manual labor
railroad bridge	construction	machine-built
railroad bridge	construction	engineered
railroad bridge	maintenance	regular inspections
railroad bridge	maintenance	repair work
railroad bridge	maintenance	replacement
radio navigation beacon	type	ground-based
radio navigation beacon	type	space-based
radio navigation beacon	function	transmitting signals
radio navigation beacon	function	providing navigation data
radio navigation beacon	signal type	radio waves
radio navigation beacon	signal type	gps signals
radio navigation beacon	used for	aircraft navigation
radio navigation beacon	used for	marine navigation
radio navigation beacon	used for	land vehicle navigation
radio navigation beacon	characteristics	highly directional
radio navigation beacon	characteristics	long-range
radio navigation beacon	installation location	land
radio navigation beacon	installation location	sea
radio navigation beacon	installation location	space
radio navigation beacon	operating frequency	lf
radio navigation beacon	operating frequency	mf
radio navigation beacon	operating frequency	hf
merchant marine	definition	collection of ships
merchant marine	definition	used for international trade
merchant marine	history	ancient times
merchant marine	history	important for global economy
merchant marine	functions	transporting goods
merchant marine	functions	providing jobs
merchant marine	functions	supporting global commerce
merchant marine	ships	tankers
merchant marine	ships	container ships
merchant marine	ships	cruise ships
merchant marine	employees	sailors
merchant marine	employees	officers
merchant marine	employees	engineers
merchant marine	regulations	international law
merchant marine	regulations	safety standards
merchant marine	regulations	environmental regulations
cabotage	definition	permission to operate
cabotage	definition	domestic shipping
cabotage	definition	freight
cabotage	purpose	to promote
cabotage	purpose	domestic economy
cabotage	purpose	national development
cabotage	example	shipping goods within a country
cabotage	example	ferrying passengers
cabotage	regulation	government permits
cabotage	regulation	licensing
cabotage	industry	shipping
cabotage	industry	freight
cabotage	industry	logistics
cabotage	impact	boosting economy
cabotage	impact	creating jobs
cabotage	impact	reducing costs
aid to navigation	type	buoy
aid to navigation	type	beacon
aid to navigation	type	lighthouse
aid to navigation	type	gps
aid to navigation	function	marking hazards
aid to navigation	function	indicating safe passage
aid to navigation	function	providing location information
aid to navigation	location	water
aid to navigation	location	air
aid to navigation	location	land
aid to navigation	used for	sailing
aid to navigation	used for	flying
aid to navigation	used for	navigating
aid to navigation	characteristics	visible
aid to navigation	characteristics	radioactive
aid to navigation	characteristics	electronic
aid to navigation	purpose	safety
aid to navigation	purpose	efficiency
aid to navigation	purpose	convenience
portable bridge	purpose	temporary
portable bridge	purpose	emergency
portable bridge	purpose	connecting
portable bridge	structure	truss
portable bridge	structure	beam
portable bridge	structure	arch
portable bridge	material	metal
portable bridge	material	wood
portable bridge	material	plastic
portable bridge	size	portable
portable bridge	size	compact
portable bridge	usage	construction
portable bridge	usage	disaster relief
portable bridge	usage	event
portable bridge	features	collapsible
portable bridge	features	foldable
portable bridge	features	easy to transport
portable bridge	application	temporary road crossing
portable bridge	application	event access
portable bridge	application	disaster response
canal	type	waterway
canal	type	shipping route
canal	type	recreational area
canal	purpose	transportation
canal	purpose	irrigation
canal	purpose	drainage
canal	location	city
canal	location	country
canal	location	continent
canal	construction	man-made
canal	construction	natural
canal	size	large
canal	size	small
canal	used for	shipping
canal	used for	recreation
canal	used for	flood control
canal	features	locks
canal	features	bridges
canal	features	tunnels
canal	history	ancient
canal	history	modern
cable ship	function	laying underwater cables
cable ship	function	repairing damaged cables
cable ship	size	large
cable ship	size	medium
cable ship	size	small
cable ship	design	specialized for deep sea
cable ship	design	equipped with cranes
cable ship	design	equipped with cable-laying equipment
cable ship	location	oceans
cable ship	location	seas
cable ship	location	coastlines
cable ship	purpose	enabling communication
cable ship	purpose	supporting internet
cable ship	purpose	providing data transfer
cable ship	type	offshore
cable ship	type	oceanic
cable ship	type	coastal
transit shelter	purpose	provide protection
transit shelter	purpose	wait for bus
transit shelter	design	simple structure
transit shelter	design	roofed
transit shelter	location	near bus stop
transit shelter	location	public area
transit shelter	materials	metal
transit shelter	materials	glass
transit shelter	materials	concrete
transit shelter	features	seating
transit shelter	features	lighting
transit shelter	features	information board
transit shelter	function	wait for public transportation
transit shelter	function	provide information
transit shelter	maintenance	regularly cleaned
transit shelter	maintenance	occasional repairs
hangar bay	location	on a ship
hangar bay	location	on an aircraft carrier
hangar bay	purpose	storing and launching aircraft
hangar bay	purpose	housing aircraft during flight
hangar bay	size	large
hangar bay	size	capacity for multiple aircraft
hangar bay	access	elevator
hangar bay	access	catwalk
hangar bay	access	ramp
hangar bay	security	locked doors
hangar bay	security	security personnel
hangar bay	equipment	cranes
hangar bay	equipment	tugs
hangar bay	equipment	fueling systems
cab car	type	train
cab car	type	locomotive
cab car	function	pulling passenger train
cab car	function	carrying freight
cab car	function	leading train
cab car	size	large
cab car	size	long
cab car	features	engine
cab car	features	wheels
cab car	features	couplers
cab car	speed	fast
cab car	speed	slow
cab car	used in	railway system
cab car	used in	transportation industry
cab car	characteristics	heavy
cab car	characteristics	powerful
cab car	characteristics	noisy
fire engine	vehicle type	emergency vehicle
fire engine	vehicle type	red
fire engine	vehicle type	large
fire engine	function	fighting fires
fire engine	function	rescue
fire engine	function	emergency response
fire engine	features	loud siren
fire engine	features	water tank
fire engine	features	fire hose
fire engine	size	large
fire engine	size	long
fire engine	size	tall
fire engine	color	red
fire engine	color	silver
fire engine	color	black
fire engine	used for	fighting fires
fire engine	used for	rescue operations
fire engine	used for	emergency medical services
fire engine	location	fire station
fire engine	location	street
fire engine	location	building
fishing vessel	type	ocean-going
fishing vessel	type	freshwater
fishing vessel	type	sailboat
fishing vessel	type	trawler
fishing vessel	purpose	fishing
fishing vessel	purpose	tourism
fishing vessel	purpose	transportation
fishing vessel	size	large
fishing vessel	size	small
fishing vessel	size	medium
fishing vessel	structure	metal
fishing vessel	structure	wooden
fishing vessel	structure	composite
fishing vessel	features	railing
fishing vessel	features	deck
fishing vessel	features	engine
fishing vessel	features	nets
fishing vessel	location	sea
fishing vessel	location	lake
fishing vessel	location	river
fishing vessel	location	port
fishing vessel	functionality	catching fish
fishing vessel	functionality	carrying passengers
fishing vessel	functionality	storing cargo
rocket engine	function	propulsion
rocket engine	function	space travel
rocket engine	component	combustion chamber
rocket engine	component	nozzle
rocket engine	component	fuel pump
rocket engine	fuel type	liquid
rocket engine	fuel type	solid
rocket engine	operation	combustion
rocket engine	operation	electrical
rocket engine	performance	high thrust
rocket engine	performance	high efficiency
rocket engine	application	space exploration
rocket engine	application	military
rocket engine	application	scientific research
rocket engine	design	pulsed
rocket engine	design	continuous
rocket engine	location	spacecraft
rocket engine	location	launchpad
rocket engine	location	ground station
refrigerated compartment	function	keeps food cool
refrigerated compartment	function	preserves food
refrigerated compartment	location	kitchen
refrigerated compartment	location	home
refrigerated compartment	location	store
refrigerated compartment	temperature range	below freezing
refrigerated compartment	temperature range	around 4°c
refrigerated compartment	content	food
refrigerated compartment	content	drinks
refrigerated compartment	content	medicine
refrigerated compartment	usage	storing perishable items
refrigerated compartment	usage	preserving food for longer
refrigerated compartment	design	insulation
refrigerated compartment	design	cooling system
refrigerated compartment	safety feature	temperature control
refrigerated compartment	safety feature	humidity control
attaching	meaning	connecting
attaching	meaning	joining
attaching	meaning	fastening
attaching	method	glue
attaching	method	nail
attaching	method	screw
attaching	method	taping
attaching	object	paper
attaching	object	fabric
attaching	object	metal
attaching	object	plastic
attaching	purpose	repair
attaching	purpose	assemble
attaching	purpose	hold together
attaching	purpose	decorate
attaching	difficulty	easy
attaching	difficulty	hard
attaching	difficulty	requires skill
attaching	location	office
attaching	location	workshop
attaching	location	home
attaching	location	factory
standard gauge railway	railway type	track gauge
standard gauge railway	railway type	infrastructure
standard gauge railway	standard gauge size	1,435 mm
standard gauge railway	used for	passenger transport
standard gauge railway	used for	freight transport
standard gauge railway	used for	commuting
standard gauge railway	location	worldwide
standard gauge railway	location	europe
standard gauge railway	location	north america
standard gauge railway	characteristics	wide adoption
standard gauge railway	characteristics	compatible with most trains
standard gauge railway	history	developed in 19th century
standard gauge railway	history	adopted globally
diesel fuel	type	petroleum-based
diesel fuel	type	combustible liquid
diesel fuel	usage	fuels vehicles
diesel fuel	usage	generates electricity
diesel fuel	usage	heats homes
diesel fuel	properties	high viscosity
diesel fuel	properties	low volatility
diesel fuel	color	dark brown
diesel fuel	color	black
diesel fuel	odor	strong
diesel fuel	odor	sulfurous
diesel fuel	storage	in tanks
diesel fuel	storage	under pressure
diesel fuel	environmental impact	contributes to air pollution
diesel fuel	environmental impact	contributes to climate change
diesel fuel	production	from crude oil
diesel fuel	production	from recycled materials
research ship	type	oceanographic
research ship	type	scientific
research ship	type	exploratory
research ship	size	large
research ship	size	medium
research ship	size	small
research ship	function	conducting research
research ship	function	collecting data
research ship	function	monitoring environment
research ship	equipment	sonar
research ship	equipment	submarine
research ship	equipment	laboratory
research ship	equipment	sensors
research ship	crew	scientists
research ship	crew	engineers
research ship	crew	researchers
research ship	location	ocean
research ship	location	sea
research ship	location	lake
research ship	location	research station
research ship	purpose	studying ocean life
research ship	purpose	monitoring climate change
research ship	purpose	exploring deep sea
hopper dredger	type	vessel
hopper dredger	type	ship
hopper dredger	type	equipment
hopper dredger	function	remove sediment
hopper dredger	function	maintain water depth
hopper dredger	function	construct coastal structures
hopper dredger	components	hopper
hopper dredger	components	pumps
hopper dredger	components	propulsion system
hopper dredger	size	large
hopper dredger	size	medium
hopper dredger	size	small
hopper dredger	used for	maintenance
hopper dredger	used for	construction
hopper dredger	used for	reclamation
hopper dredger	operating environment	water
hopper dredger	operating environment	coastal
hopper dredger	operating environment	port
vehicle registration	purpose	to identify vehicle
vehicle registration	purpose	to track ownership
vehicle registration	process	online
vehicle registration	process	in-person
vehicle registration	required documents	proof of insurance
vehicle registration	required documents	proof of ownership
vehicle registration	required documents	vehicle identification number
vehicle registration	duration	annual
vehicle registration	duration	biennial
vehicle registration	duration	triennial
vehicle registration	fees	variable
vehicle registration	fees	dependent on location
vehicle registration	renewal	online
vehicle registration	renewal	in-person
vehicle registration	renewal	mail
vehicle registration	penalties	late fees
vehicle registration	penalties	fine for non-compliance
ship hull	function	structure
ship hull	function	protection
ship hull	function	buoyancy
ship hull	material	steel
ship hull	material	aluminum
ship hull	material	fiberglass
ship hull	shape	curved
ship hull	shape	flat
ship hull	design	monohull
ship hull	design	catamaran
ship hull	design	trimaran
ship hull	purpose	transportation
ship hull	purpose	recreation
ship hull	purpose	military
ship hull	location	ocean
ship hull	location	lake
ship hull	location	river
ship hull	features	propeller
ship hull	features	rudder
ship hull	features	anchor
animal powered vehicle	type	horse-drawn
animal powered vehicle	type	ox-drawn
animal powered vehicle	type	donkey-drawn
animal powered vehicle	purpose	transportation
animal powered vehicle	purpose	agriculture
animal powered vehicle	purpose	recreation
animal powered vehicle	features	wheels
animal powered vehicle	features	axles
animal powered vehicle	features	harness
animal powered vehicle	features	saddle
animal powered vehicle	historical significance	ancient
animal powered vehicle	historical significance	medieval
animal powered vehicle	historical significance	19th century
animal powered vehicle	used for	carrying people
animal powered vehicle	used for	carrying goods
animal powered vehicle	used for	plowing fields
animal powered vehicle	characteristics	slow speed
animal powered vehicle	characteristics	heavy load capacity
animal powered vehicle	examples	chariot
animal powered vehicle	examples	cart
animal powered vehicle	examples	plow
etiologic agent	type	bacteria
etiologic agent	type	virus
etiologic agent	type	fungus
etiologic agent	type	parasite
etiologic agent	origin	environmental
etiologic agent	origin	animal
etiologic agent	origin	human
etiologic agent	disease caused	infection
etiologic agent	disease caused	illness
etiologic agent	disease caused	disorder
etiologic agent	mode of transmission	contact
etiologic agent	mode of transmission	airborne
etiologic agent	mode of transmission	vector-borne
etiologic agent	mode of transmission	waterborne
etiologic agent	symptoms	fever
etiologic agent	symptoms	rash
etiologic agent	symptoms	cough
etiologic agent	symptoms	diarrhea
etiologic agent	treatment	antibiotics
etiologic agent	treatment	vaccination
etiologic agent	treatment	medication
etiologic agent	treatment	surgery
etiologic agent	prevention	hygiene
etiologic agent	prevention	vaccination
etiologic agent	prevention	avoidance
etiologic agent	prevention	screening
track gauge	definition	distance between rails
track gauge	units	millimeters
track gauge	units	millimeters
track gauge	units	inches
track gauge	types	standard gauge
track gauge	types	broad gauge
track gauge	types	narrow gauge
track gauge	types	narrower gauge
track gauge	used for	trains
track gauge	used for	railway infrastructure
track gauge	used for	standardization
track gauge	historical significance	standardized globally
track gauge	historical significance	changed over time
track gauge	historical significance	different in different countries
registry ton	unit of measurement	ton
registry ton	unit of measurement	weight
registry ton	unit of measurement	mass
registry ton	used for	measuring weight of ships
registry ton	used for	calculating cargo capacity
registry ton	used for	estimating ship size
registry ton	origin	registry of shipping
registry ton	origin	maritime industry
registry ton	meaning	one ton
registry ton	meaning	twenty tons
registry ton	meaning	hundred tons
registry ton	context	shipping industry
registry ton	context	port operations
registry ton	context	maritime trade
commercial shipping	mode	sea
commercial shipping	mode	air
commercial shipping	mode	land
commercial shipping	industry	logistics
commercial shipping	industry	transportation
commercial shipping	industry	trade
commercial shipping	vessel	container ship
commercial shipping	vessel	tanker
commercial shipping	vessel	cruise liner
commercial shipping	cargo	goods
commercial shipping	cargo	commodities
commercial shipping	cargo	containers
commercial shipping	route	global
commercial shipping	route	regional
commercial shipping	route	local
commercial shipping	cost	economies of scale
commercial shipping	cost	fuel costs
commercial shipping	cost	insurance
commercial shipping	regulations	safety
commercial shipping	regulations	environmental
commercial shipping	regulations	customs
road vehicle	type	car
road vehicle	type	truck
road vehicle	type	bus
road vehicle	type	motorcycle
road vehicle	type	scooter
road vehicle	wheels	four
road vehicle	wheels	two
road vehicle	wheels	three
road vehicle	propulsion	engine
road vehicle	propulsion	electric
road vehicle	propulsion	hybrid
road vehicle	size	small
road vehicle	size	large
road vehicle	size	compact
road vehicle	purpose	transportation
road vehicle	purpose	recreation
road vehicle	purpose	work
road vehicle	features	air conditioning
road vehicle	features	sunroof
road vehicle	features	heated seats
road vehicle	features	infotainment system
road vehicle	used for	driving
road vehicle	used for	racing
road vehicle	used for	carrying cargo
road vehicle	located at	parking lot
road vehicle	located at	garage
road vehicle	located at	highway
road vehicle	located at	city street
petroleum pipeline	function	transporting oil
petroleum pipeline	function	transporting natural gas
petroleum pipeline	material	steel
petroleum pipeline	material	plastic
petroleum pipeline	location	underground
petroleum pipeline	location	undersea
petroleum pipeline	location	land
petroleum pipeline	length	hundreds of miles
petroleum pipeline	diameter	small
petroleum pipeline	diameter	large
petroleum pipeline	purpose	energy supply
petroleum pipeline	purpose	revenue generation
petroleum pipeline	maintenance	regular inspection
petroleum pipeline	maintenance	repair
petroleum pipeline	maintenance	replacement
petroleum pipeline	risks	leakage
petroleum pipeline	risks	accidents
petroleum pipeline	risks	environmental damage
cargo manifest	purpose	documenting shipment details
cargo manifest	purpose	tracking cargo
cargo manifest	content	listing cargo items
cargo manifest	content	specifying quantities
cargo manifest	format	digital
cargo manifest	format	paper
cargo manifest	information included	cargo description
cargo manifest	information included	weight
cargo manifest	information included	volume
cargo manifest	information included	shipping date
cargo manifest	used by	shippers
cargo manifest	used by	logistics companies
cargo manifest	used by	customs officials
cargo manifest	location	ship
cargo manifest	location	warehouse
cargo manifest	location	office
cargo manifest	audience	cargo handlers
cargo manifest	audience	customers
cargo manifest	audience	regulatory bodies
government organization	type	local
government organization	type	national
government organization	type	international
government organization	function	legislation
government organization	function	regulation
government organization	function	public service
government organization	structure	bureaucracy
government organization	structure	hierarchy
government organization	responsibilities	law enforcement
government organization	responsibilities	tax collection
government organization	responsibilities	public infrastructure
government organization	size	small
government organization	size	large
government organization	budget	limited
government organization	budget	significant
government organization	goals	public welfare
government organization	goals	economic growth
government organization	goals	national security
personal watercraft	type	watercraft
personal watercraft	type	boat
personal watercraft	type	jet ski
personal watercraft	size	small
personal watercraft	size	portable
personal watercraft	purpose	recreational
personal watercraft	purpose	water sports
personal watercraft	purpose	transportation
personal watercraft	propulsion	jet propulsion
personal watercraft	propulsion	rotary engine
personal watercraft	speed	high speed
personal watercraft	speed	fast
personal watercraft	features	handlebars
personal watercraft	features	steering
personal watercraft	features	speed control
personal watercraft	environment	water
personal watercraft	environment	lake
personal watercraft	environment	ocean
personal watercraft	environment	sea
bill of lading	purpose	document of title
bill of lading	purpose	proof of ownership
bill of lading	purpose	proof of delivery
bill of lading	content	description of goods
bill of lading	content	quantity
bill of lading	content	weight
bill of lading	content	value
bill of lading	format	paper
bill of lading	format	digital
bill of lading	used for	shipping
bill of lading	used for	transportation
bill of lading	used for	logistics
bill of lading	party involved	shipper
bill of lading	party involved	carrier
bill of lading	party involved	consignee
bill of lading	relevance to	international trade
bill of lading	relevance to	commercial transactions
bill of lading	relevance to	logistics industry
ship agent	profession	broker
ship agent	profession	middleman
ship agent	profession	representative
ship agent	function	negotiating
ship agent	function	arranging
ship agent	function	facilitating
ship agent	industry	shipping
ship agent	industry	maritime
ship agent	industry	logistics
ship agent	responsibilities	booking
ship agent	responsibilities	chartering
ship agent	responsibilities	cargoes
ship agent	location	port
ship agent	location	office
ship agent	location	dock
ship agent	services	arranging cargo
ship agent	services	providing insurance
ship agent	services	handling logistics
commercial airport	function	transportation hub
commercial airport	function	air travel
commercial airport	function	passenger service
commercial airport	structure	terminal building
commercial airport	structure	runway
commercial airport	structure	control tower
commercial airport	operations	scheduling flights
commercial airport	operations	handling baggage
commercial airport	operations	providing amenities
commercial airport	services	check-in
commercial airport	services	security screening
commercial airport	services	boarding
commercial airport	facilities	food and beverage
commercial airport	facilities	retail shops
commercial airport	facilities	lounges
commercial airport	security	screening
commercial airport	security	id checks
commercial airport	security	customs
commercial airport	management	airport authorities
commercial airport	management	airlines
commercial airport	management	security personnel
long ton	unit of measurement	weight
long ton	unit of measurement	mass
long ton	unit of measurement	volume
long ton	conversion	2240 pounds
long ton	conversion	1.12 tons
long ton	origin	united kingdom
long ton	origin	imperial system
long ton	used in	shipping industry
long ton	used in	construction
long ton	used in	manufacturing
long ton	alternative name	tonne
long ton	alternative name	ton
bulk cargo	type	dry
bulk cargo	type	liquid
bulk cargo	mode of transport	ship
bulk cargo	mode of transport	train
bulk cargo	mode of transport	truck
bulk cargo	container type	hopper
bulk cargo	container type	tank
bulk cargo	container type	bag
bulk cargo	material	grains
bulk cargo	material	minerals
bulk cargo	material	ores
bulk cargo	destination	port
bulk cargo	destination	factory
bulk cargo	destination	power plant
bulk cargo	industry	agriculture
bulk cargo	industry	mining
bulk cargo	industry	energy
bulk cargo	volume	large
bulk cargo	volume	massive
bulk cargo	handling	careful
bulk cargo	handling	specialized
tugboat	type of boat	vessel
tugboat	type of boat	marine
tugboat	type of boat	watercraft
tugboat	function	pull
tugboat	function	tow
tugboat	function	assist
tugboat	size	small
tugboat	size	medium
tugboat	size	large
tugboat	propulsion	engine
tugboat	propulsion	mechanical
tugboat	propulsion	manual
tugboat	used for	assisting larger boats
tugboat	used for	rescue
tugboat	used for	salvage
tugboat	features	strong hull
tugboat	features	powerful engine
tugboat	features	anchor
cargo container	type	shipping
cargo container	type	freight
cargo container	type	container
cargo container	size	large
cargo container	size	medium
cargo container	size	small
cargo container	material	metal
cargo container	material	plastic
cargo container	function	transport goods
cargo container	function	store goods
cargo container	function	protect goods
cargo container	usage	ocean
cargo container	usage	land
cargo container	usage	air
cargo container	features	doors
cargo container	features	locks
cargo container	features	tracks
cargo container	purpose	international trade
cargo container	purpose	domestic trade
cargo container	purpose	logistics
unpaved runway	type	airfield
unpaved runway	type	airstrip
unpaved runway	surface	grass
unpaved runway	surface	dirt
unpaved runway	surface	sand
unpaved runway	condition	rough
unpaved runway	condition	uneven
unpaved runway	condition	muddy
unpaved runway	use	emergency landing
unpaved runway	use	small aircraft
unpaved runway	use	private use
unpaved runway	location	rural area
unpaved runway	location	remote location
unpaved runway	location	developing country
unpaved runway	maintenance	infrequent
unpaved runway	maintenance	minimal
unpaved runway	maintenance	none
unpaved runway	safety	high risk
unpaved runway	safety	low visibility
unpaved runway	safety	uneven terrain
ocean liner	type	large passenger ship
ocean liner	type	vessel
ocean liner	type	maritime transportation
ocean liner	size	hundreds of meters long
ocean liner	size	large capacity
ocean liner	purpose	transporting people
ocean liner	purpose	carrying cargo
ocean liner	purpose	tourist attraction
ocean liner	features	luxurious accommodations
ocean liner	features	dining options
ocean liner	features	entertainment facilities
ocean liner	movement	moving through water
ocean liner	movement	powered by engines
ocean liner	history	long history of use
ocean liner	history	important in maritime trade
ocean liner	speed	relatively slow
ocean liner	speed	dependent on wind and currents
port city	location	coastal area
port city	location	harbor
port city	location	waterfront
port city	function	shipping
port city	function	trade
port city	function	commerce
port city	economic significance	job creator
port city	economic significance	driver of growth
port city	economic significance	source of revenue
port city	infrastructure	docks
port city	infrastructure	warehouses
port city	infrastructure	freight yards
port city	characteristics	industrial
port city	characteristics	commercial
port city	characteristics	touristy
port city	features	marina
port city	features	pier
port city	features	lighthouse
transit route	purpose	transportation
transit route	purpose	commuting
transit route	purpose	travel
transit route	mode	bus
transit route	mode	train
transit route	mode	subway
transit route	mode	ferry
transit route	mode	airplane
transit route	location	city
transit route	location	country
transit route	location	region
transit route	location	airport
transit route	location	seaport
transit route	route type	local
transit route	route type	express
transit route	route type	intercity
transit route	route type	international
transit route	route type	tourist
transit route	schedule	fixed
transit route	schedule	variable
transit route	schedule	on-demand
transit route	schedule	real-time
transit route	vehicle characteristics	capacity
transit route	vehicle characteristics	speed
transit route	vehicle characteristics	frequency
transit route	vehicle characteristics	stops
transit route	vehicle characteristics	fare
transit route	infrastructure	track
transit route	infrastructure	road
transit route	infrastructure	waterway
transit route	infrastructure	tunnel
transit route	infrastructure	bridge
pusher tug	type	marine vessel
pusher tug	type	boat
pusher tug	type	ship
pusher tug	function	assisting other vessels
pusher tug	function	moving heavy loads
pusher tug	function	towing
pusher tug	design	strong
pusher tug	design	heavy-duty
pusher tug	size	large
pusher tug	size	long
pusher tug	used for	marine operations
pusher tug	used for	harbor maintenance
pusher tug	used for	construction projects
pusher tug	associated with	shipping industry
pusher tug	associated with	port operations
pusher tug	associated with	coastal activities
port facility	function	shipping
port facility	function	cargo handling
port facility	function	export
port facility	location	coast
port facility	location	waterfront
port facility	location	harbor
port facility	infrastructure	docks
port facility	infrastructure	cranes
port facility	infrastructure	warehouses
port facility	operations	loading
port facility	operations	unloading
port facility	operations	storage
port facility	types of cargo	containers
port facility	types of cargo	bulk cargo
port facility	types of cargo	liquid cargo
port facility	regulation	customs
port facility	regulation	port authority
port facility	regulation	safety regulations
dual gauge railway	definition	railway track
dual gauge railway	definition	two different gauges
dual gauge railway	definition	compatible trains
dual gauge railway	purpose	increase railway capacity
dual gauge railway	purpose	reduce costs
dual gauge railway	purpose	improve connectivity
dual gauge railway	features	shared track
dual gauge railway	features	compatible trains
dual gauge railway	features	adjustable gauge
dual gauge railway	types	dual gauge railway
dual gauge railway	types	dual gauge track
dual gauge railway	types	dual gauge line
dual gauge railway	challenges	different gauge sizes
dual gauge railway	challenges	train compatibility
dual gauge railway	challenges	infrastructure costs
dual gauge railway	locations	australia
dual gauge railway	locations	india
dual gauge railway	locations	europe
dual gauge railway	locations	asia
commercial agent	role	intermediary
commercial agent	role	middleman
commercial agent	role	broker
commercial agent	function	buying
commercial agent	function	selling
commercial agent	function	trading
commercial agent	type	real estate
commercial agent	type	insurance
commercial agent	type	financial
commercial agent	responsibilities	negotiating
commercial agent	responsibilities	communicating
commercial agent	responsibilities	representing
