	0	1
14157	factors: market demand	2204
14158	factors: regulations	900
14159	factors: security	2122
14160	features: abs brakes	117
14161	safety features: leak detection	1245
14162	economic importance: energy security	1234
14163	economic importance: job creation	1246
14164	purpose: documenting cargo	2549
14165	purpose: tracking cargo	1142
14166	content: cargo details	1247
14167	content: value	1249
14168	content: destination	573
14169	used by: shipping companies	619
14170	used by: logistics	1248
14171	used by: import/export	2508
14172	location: shipping company	2003
14173	function: provide public services	2414
14174	function: make laws	2548
14175	function: regulate industries	191
14176	structure: ministerial	1702
14177	responsibilities: social welfare	1644
14178	location: local office	59
14179	type: pwc	470
14180	design: hydrofoil	922
14181	features: steering handle	740
14182	features: water jet propulsion	2336
14183	used for: water tourism	1167
14184	used for: marine recreation	2683
14185	operated in: ocean	1213
14186	operated in: lake	1324
14187	operated in: river	1311
14188	operated in: bay	1213
14189	maintenance required: regularly serviced	2441
14190	maintenance required: washed and dried	1794
14191	purpose: record of shipment	2549
14192	contents: goods description	194
14193	contents: quantity	2175
14194	contents: weight	1018
14195	contents: value	1249
14196	authority: carrier	1716
14197	authority: shipper	2914
14198	authority: consignee	1550
14199	importance: proof of delivery	1250
14200	importance: proof of ownership	2704
14201	importance: insurance claim	1753
14202	function: processing paperwork	864
14203	facilities: hanger	1091
14204	facilities: security check	1507
14205	services: shuttle service	1251
14206	location: nearby highway	1295
14207	operations: staffed	2894
14208	features: public art	2130
14209	features: atm	916
14210	definition: 2,000 pounds	1553
14211	conversion: metric ton	2139
14212	conversion: short ton	681
14213	different from: metric ton	2139
14214	destination: warehouse	808
14215	example: grains	1941
14216	example: coal	342
14217	example: crude oil	2946
14218	measured by: ton	681
14219	measured by: cubic meter	2121
14220	handling: storing	435
14221	function: moving objects	705
14222	characteristics: maneuverable	452
14223	size: standardized	2957
14224	capacity: dependent on size	634
14225	security: sealed	1172
14226	security: trackable	1172
14227	environmental impact: reduces carbon footprint	1252
14228	environmental impact: reduces waste	1252
14229	used in: shipping industry	619
14230	used in: logistics	1248
14231	used in: supply chain management	2843
14232	used for: small aircraft	1029
14233	used for: training exercise	1253
14234	found in: remote areas	2381
14235	found in: developing countries	1254
14236	found in: military bases	18
14237	type: luxury cruise	295
14238	type: transatlantic	858
14239	purpose: providing luxury travel	1369
14240	purpose: crossing oceans	2574
14241	features: swimming pools	905
14242	operation: sailings	1423
14243	operation: itineraries	2976
14244	operation: ports of call	1055
14245	history: golden age	237
14246	history: iconic designs	1867
14247	economy: economic hub	2959
14248	infrastructure: shipping lanes	2756
14249	direction: to	1255
14250	direction: from	1255
14251	direction: through	743
14252	stops: many	1364
14253	stops: few	1364
14254	purpose: shopping	3151
14255	function: assisting vessels	861
14256	type of vessel: tugboat	1768
14257	used for: assisting in navigation	1296
14258	features: powerful winches	205
14259	operations: regulated	1256
14260	importance: tourist	2039
14261	types: cruise port	113
14262	definition: railway with two different gauges	687
14263	definition: allows trains of different sizes	2664
14264	purpose: to increase rail network capacity	2492
14265	purpose: to accommodate different train types	1233
14266	features: separate tracks for different gauges	3026
14267	features: track gauge conversion possible	2664
14268	challenges: complex engineering	1554
14269	examples: south africa	2443
14270	definition: mediator	2706
14271	functions: buying	3151
14272	functions: selling	1257
14273	functions: negotiating	1552
14274	characteristics: experienced	1068
14275	roles: customer service	2737
14276	roles: problem-solving	1106
14277	roles: communication	2326
14278	qualifications: licensing	3073
14279	qualifications: certification	3073
14280	qualifications: education	222
14281	location: america	2254
14282	construction: historic	2823
14283	economic importance: global trade	3058
14284	economic importance: local commerce	859
14285	engineering feat: complex	1348
14286	engineering feat: innovative	1348
14287	engineering feat: challenging	1348
14288	maintenance: necessary	1986
14289	maintenance: costly	1986
14290	type: high-end	1517
14291	features: personalized service	1681
14292	accommodation: seating	1930
14293	accommodation: bedroom	2613
14294	accommodation: dining	549
14295	target audience: business executives	2092
14296	location: beginning	556
14297	characteristics: larger	1
14298	characteristics: heavier	720
14299	usage: long-distance	1258
14300	usage: commuter	614
14301	infrastructure: electrification system	3037
14302	maintenance: electricity supply	2872
14303	unit: milligram	1861
14304	conversion: used in science	692
14305	conversion: used in everyday life	3100
14306	precision: highly precise	691
14307	precision: used for accurate measurements	2527
14308	application: used in physics	2110
14309	application: used in chemistry	692
14310	application: used in medicine	3104
14311	type: volume	2559
14312	purpose: aircraft taking off	1198
14313	purpose: aircraft parking	1259
14314	located at: construction site	3096
14315	purpose: distribution	1260
14316	location: landlocked	2254
14317	capacity: small volume	2873
14318	safety features: monitoring	1582
14319	safety features: insulation	3146
14320	safety features: security measures	2857
14321	type: timetable	696
14322	type: travel plan	1020
14323	type: itinerary	2375
14324	purpose: helping passengers	544
14325	purpose: organizing flights	1725
14326	purpose: scheduling airlines	1725
14327	contents: aircraft types	2125
14328	contents: route information	2079
14329	availability: mobile app	2512
14330	availability: printed at airport	1020
14331	construction: built on abutments	233
14332	features: roadway	1184
14333	features: railway	1357
14334	features: pedestrian walkway	2732
14335	design: high-speed compressor	234
14336	design: exhaust nozzle	158
14337	components: combustor	1980
14338	disadvantages: low fuel efficiency	2494
14339	disadvantages: high noise level	1261
14340	sail: sails	2607
14341	sail: steam power	2607
14342	location: antarctic	1137
14343	owner: private	1572
14344	owner: government	145
14345	owner: company	1467
14346	context: problem-solving	1106
14347	context: learning	735
14348	style: informative	2011
14349	provider: expert	2665
14350	provider: parent	1262
14351	receiver: individual	1373
14352	receiver: group	1373
14353	receiver: organization	24
14354	result: increased confidence	3075
14355	result: improved performance	2629
14356	result: better decision-making	2669
14357	function: stabilizes structure	2061
14358	location: tanker	646
14359	installation: permanent	2130
14360	installation: removable	2922
14361	installation: temporary	2130
14362	type: heavy lifting	704
14363	features: arm	604
14364	function: placing	2806
14365	used in: shipbuilding	2496
14366	used in: construction site	3096
14367	components: hydraulic system	1186
14368	components: electrical system	3117
14369	method: electrical	517
14370	purpose: information transfer	914
14371	mode: analog	519
14372	mode: digital	518
14373	mode: hybrid	259
14374	devices: transmitter	33
14375	devices: receiver	1164
14376	devices: modulator	33
14377	devices: demodulator	1159
14378	applications: computer networks	1263
14379	applications: wireless communication	2562
14380	applications: medical devices	2066
14381	applications: industrial control	3155
14382	definition: narrowest part of a channel	1732
14383	purpose: shipping route	2440
14384	regulation: defined by authorities	2718
14385	regulation: marked with buoys	1281
14386	importance: for international trade	1756
14387	importance: for safe navigation	2393
14388	physical structure: made of metal	2981
14389	operation: manual operation	41
14390	operation: mechanized operation	1913
14391	history: used for centuries	472
14392	history: developed in ancient times	472
14393	function: communicate	2326
14394	function: inform	522
14395	speed: instantaneous	928
14396	used in: communications	653
14397	used in: control systems	2407
14398	used in: biology	692
14399	properties: unreliable	427
14400	properties: insecure	120
14401	component: boom	2392
14402	component: trolley	568
14403	component: winch	243
14404	component: cable	671
14405	function: passenger transport	2513
14406	location: along riverbank	2243
14407	activity level: busy	214
14408	activity level: quiet	767
14409	used for: exporting goods	2508
14410	managed by: authority	1160
14411	usage: naval warfare	1421
14412	usage: patrol	1264
14413	usage: reconnaissance	526
14414	location: naval base	18
14415	job: driver	1217
14416	job: mechanic	885
14417	job: engineer	1469
14418	responsibilities: loading/unloading cargo	1771
14419	skills: mechanical skills	1265
14420	work environment: garage	495
14421	work environment: airport	728
14422	work environment: highway	1231
14423	work environment: port	1341
14424	penalty: points	2904
14425	circumstances: during rush hour	1767
14426	circumstances: in school zone	1658
14427	circumstances: at night	3019
14428	law enforcement: speed trap	1481
14429	consequences: driver's license revocation	1163
14430	function: detection	1568
14431	technology: computer	1266
14432	equipment: processor	1267
14433	function: powers devices	1705
14434	construction: winding	2752
14435	construction: bearing	888
14436	application: home appliances	260
14437	application: medical devices	2066
14438	noise level: quiet	906
14439	gauge: large	1816
14440	characteristics: faster	452
14441	characteristics: more comfortable	2501
14442	found in: russia	533
14443	found in: india	532
14444	found in: sri lanka	2430
14445	compared to: narrow gauge railway	1711
14446	compared to: standard gauge railway	1711
14447	function: extinguishes fire	1709
14448	type: butane	1876
14449	type: charcoal	342
14450	used for: starting campfire	2928
14451	used for: smoking	2802
14452	common place: pocket	1268
14453	common place: bag	2762
14454	common place: campsite	1179
14455	safety feature: child-resistant	3088
14456	safety feature: flameless	1269
14457	purpose: efficiently move materials	705
14458	purpose: reduce labor	445
14459	purpose: increase productivity	1570
14460	features: glass ceiling	1203
14461	features: observation deck	2642
14462	location: tourist destination	181
14463	functionality: viewing cityscape	1807
14464	functionality: enjoying scenery	2642
14465	design: attractive	156
14466	usefulness: entertainment	6
14467	usefulness: education	949
14468	function: illuminates space	1734
14469	shape: simple	1270
14470	purpose: practical	3031
14471	purpose: functional	2514
14472	placement: ceiling	1203
14473	placement: wall	1201
14474	placement: table	1854
14475	placement: floor	1202
14476	usage: swimming	1271
14477	usage: boating	1167
14478	usage: drinking	1168
14479	features: beaches	2131
14480	features: waterfalls	723
14481	features: islands	1378
14482	features: reefs	1037
14483	function: catches and processes fish	153
14484	function: sells fish	1821
14485	equipment: fishing nets	926
14486	equipment: processing machines	1596
14487	crew: skilled fishermen	1955
14488	crew: ship engineers	1927
14489	catch: various fish species	1399
14490	catch: tons of fish	1399
14491	operation: year-round	2399
14492	function: raises/lowers water level	895
14493	components: wickets	684
14494	components: pound	226
14495	components: chamber	1272
14496	purpose: provide transportation	1394
14497	purpose: allow passengers to board	2630
14498	purpose: facilitate travel	3154
14499	features: bus stop sign	2935
14500	type: ferry terminal	2789
14501	operations: served by public transportation	560
14502	operations: managed by transit authority	560
14503	operations: has fixed schedule	2991
14504	visibility: easy to spot	2951
14505	visibility: well-marked	2951
14506	visibility: hard to miss	2951
14507	infrastructure: tolls	1273
14508	vehicle types: passenger vehicle	2505
14509	vehicle types: commercial vehicle	2505
14510	vehicle types: emergency vehicle	150
14511	vehicle types: construction vehicle	414
14512	operations: driving	273
14513	operations: parking	374
14514	operations: stopping	1384
14515	operations: yielding	3080
14516	regulations: traffic laws	1330
14517	regulations: road signs	2192
14518	regulations: traffic signals	2571
14519	environmental impact: congestion	2256
14520	type of goods: hazardous chemicals	274
14521	type of goods: explosives	2248
14522	type of goods: flammable liquids	542
14523	handling requirements: proper storage	1882
14524	consequences of mishandling: fire	277
14525	consequences of mishandling: explosion	276
14526	regulations: transportation regulations	2578
14527	regulations: storage regulations	1044
14528	regulations: handling regulations	2037
14529	examples: acids	902
14530	purpose: housing crew	1577
14531	security: locked doors	1172
14532	security: surveillance cameras	1274
14533	contents: crates	2525
14534	contents: containers	550
14535	contents: vehicles	527
14536	contents: passenger cabins	1441
14537	function: connecting routes	1184
14538	function: exchanging passengers	3036
14539	structure: station	1841
14540	services: subway	1380
14541	services: ride-hailing	903
14542	features: information desk	904
14543	features: maps	2439
14544	features: directional signs	2504
14545	function: waterway connection	1347
14546	function: water traffic control	171
14547	function: water storage	732
14548	management: volunteer group	1315
14549	objective: goal achievement	1275
14550	objective: task completion	1275
14551	objective: resource allocation	2402
14552	steps: executing	3118
14553	participants: employees	2092
14554	participants: managers	1908
14555	participants: team members	3120
14556	tools and techniques: gantt charts	700
14557	tools and techniques: decision trees	2454
14558	tools and techniques: swot analysis	1073
14559	environment: business setting	1276
14560	environment: project scope	1984
14561	environment: resource constraints	3048
14562	environment: team dynamics	1276
14563	outcomes: efficiency	367
14564	outcomes: effectiveness	547
14565	outcomes: productivity	367
14566	outcomes: quality	3086
14567	purpose: long-distance driving	643
14568	features: trailer attachment	386
14569	uses: agriculture	1586
14570	operations: driven by driver	2200
14571	operations: requires maintenance	1165
14572	operations: requires fuel	3164
14573	components: bulbs	1573
14574	components: housing	1272
14575	route: land	1837
14576	route: long-distance	990
14577	vehicles: locomotives	1240
14578	vehicles: carriages	2543
14579	speed: medium-speed	2972
14580	component: rails	2170
14581	component: sleepers	1277
14582	component: ties	1278
14583	component: ballast	2171
14584	maintenance: regular replacement	2938
14585	length: standard	3114
14586	safety: stringent	2037
14587	safety: rigorous	334
14588	safety: high	857
14589	type: vehicles	2505
14590	size: oversized	310
14591	mode of transportation: ship	308
14592	mode of transportation: truck	853
14593	storage location: container yard	296
14594	purpose: generate thrust	297
14595	purpose: power aircraft	1327
14596	function: convert chemical energy	2708
14597	function: produce high-speed exhaust	515
14598	technology: turbojet	3163
14599	technology: turboprop	2383
14600	technology: rocket engine	1063
14601	design consideration: efficiency	367
14602	design consideration: power-to-weight ratio	1358
14603	design consideration: heat management	2986
14604	used in: power generation	63
14605	characteristic: high-speed rotation	3106
14606	characteristic: hot exhaust gases	515
14607	characteristic: complex mechanical system	1022
14608	purpose: moving objects vertically	710
14609	mechanism: using pulleys	2017
14610	mechanism: using cables	871
14611	mechanism: using hydraulic system	1186
14612	usage: industrial setting	961
14613	usage: residential building	1113
14614	features: movable	1049
14615	features: stable	433
14616	operational principle: leveraging gravity	1279
14617	operational principle: using counterweights	1279
14618	operational principle: utilizing mechanical advantage	2423
14619	purpose: testing car's performance	304
14620	purpose: measuring car's size	3157
14621	design: model	1584
14622	function: testing brakes	2570
14623	used by: engineers	809
14624	used by: car manufacturers	2882
14625	found in: laboratory	692
14626	found in: testing facility	2349
14627	found in: car factory	2882
14628	shape: boxy	1383
14629	shape: curvy	174
14630	shape: sleek	344
14631	purpose: special occasion	1280
14632	examples: car	2186
14633	examples: train	425
14634	examples: ship	10
14635	examples: plane	909
14636	examples: bicycle	2768
14637	examples: bus	1587
14638	examples: subway	1380
14639	examples: tram	0
14640	examples: taxi	283
14641	examples: airplane	909
14642	examples: motorcycle	2769
14643	examples: motorhome	1123
14644	examples: boat	50
14645	examples: sailboat	2736
14646	examples: trolley	0
14647	examples: trolleybus	0
14648	examples: tramway	0
14649	examples: submarine	1456
14650	examples: spacecraft	2604
14651	examples: rocket	1063
14652	examples: space shuttle	2604
14653	examples: space station	2604
14654	road infrastructure: limited space	2546
14655	road infrastructure: no merge	2398
14656	vehicle capacity: limited	2720
14657	vehicle capacity: one-way only	2720
14658	vehicle capacity: no passing	3122
14659	safety: more accidents	744
14660	safety: more aggressive driving	744
14661	maintenance: frequent cleaning	141
14662	maintenance: regular repaving	1986
14663	maintenance: high-visibility markings	652
14664	regulation: no parking	1281
14665	regulation: no stopping	3122
14666	purpose: reducing congestion	1057
14667	purpose: emergency access	2537
14668	size: smaller than a semi-truck	1282
14669	use: off-road	3008
14670	weight: heavier than a car	720
14671	weight: lighter than a semi-truck	1282
14672	commonly used for: rural areas	2216
14673	commonly used for: construction sites	3096
14674	commonly used for: outdoor activities	2602
14675	purpose: economic sanctions	1902
14676	types: naval	1421
14677	types: trade	2338
14678	consequences: economic impact	2024
14679	examples: cuba-us relations	1283
14680	examples: iran-us relations	1283
14681	examples: russia-ukraine relations	1283
14682	duration: conditional	1502
14683	related concepts: blockade	554
14684	related concepts: sanctions	911
14685	related concepts: boycott	2841
14686	type: large vessel	9
14687	propulsion: sail-assisted	2060
14688	services: train schedule	2375
14689	services: taxi stand	1054
14690	environment: industrial	2124
14691	type: nerve impulse	1392
14692	mechanism: membrane potential	2676
14693	location: neurons	1284
14694	location: nerve cells	1284
14695	conduction: electrical	3152
14696	conduction: chemical	2448
14697	role: information transmission	914
14698	role: control of muscles	2717
14699	purpose: carrying heavy loads	531
14700	operation: operating in international waters	2151
14701	operation: loading and unloading	1508
14702	operation: maintaining cargo	2211
14703	definition: combining different transportation methods	1891
14704	types of transportation: trucking	337
14705	types of transportation: shipping	2657
14706	types of transportation: rail	2237
14707	types of transportation: air	749
14708	types of transportation: water	511
14709	challenges: coordination between modes	1285
14710	challenges: different infrastructure	2572
14711	challenges: logistical complexities	1554
14712	applications: long-distance hauls	1604
14713	applications: last-mile delivery	1618
14714	applications: international trade	1788
14715	industries involved: logistics	198
14716	industries involved: supply chain management	2843
14717	industries involved: freight forwarding	1938
14718	equipment used: trucks	1414
14719	equipment used: containers	550
14720	equipment used: trailers	1409
14721	equipment used: ships	1415
14722	equipment used: planes	300
14723	capacity: many passengers	1286
14724	capacity: fewer passengers	1286
14725	attached to: locomotive	1287
14726	attached to: other railcars	1287
14727	positioned at: train station	2014
14728	positioned at: railway track	2048
14729	positioned at: platform	639
14730	function: security screening	1507
14731	structure: large building	1487
14732	structure: multiple floors	1487
14733	structure: glass and steel	1076
14734	facilities: retail shops	1288
14735	security features: security checkpoints	1507
14736	architecture: modern design	915
14737	architecture: airport theme	1006
14738	services: accommodations	279
14739	destination: global	647
14740	destination: local	2389
14741	responsibilities: traffic management	3140
14742	responsibilities: public transportation	560
14743	responsibilities: infrastructure development	676
14744	focus areas: safety	366
14745	focus areas: efficiency	367
14746	focus areas: environmental impact	754
14747	focus areas: public accessibility	785
14748	functions: regulation	1004
14749	functions: construction	1564
14750	functions: operation	1913
14751	departments: highway	2509
14752	departments: air	3046
14753	departments: water	521
14754	departments: rail	2464
14755	type: roll-on/roll-off	2840
14756	features: specialized cranes	249
14757	features: weather-resistant design	855
14758	function: connecting countries	1289
14759	management: private companies	1830
14760	management: public transportation agencies	2526
14761	safety: regulations	2037
14762	safety: safety features	3088
14763	safety: accident statistics	438
14764	function: public transportation	506
14765	function: mass transit	197
14766	infrastructure: lanes	2398
14767	usage: traveling	110
14768	vehicle type: buses	1587
14769	vehicle type: trains	2154
14770	vehicle type: trams	0
14771	function: carry fuel	1634
14772	features: tank compartments	2811
14773	features: pumps	172
14774	features: pipes	776
14775	operation: refueling	1313
14776	operation: shipping	1995
14777	safety concerns: oil spills	3053
14778	safety concerns: collisions	438
14779	safety concerns: fires	277
14780	coverage area: urban	1589
14781	coverage area: rural	140
14782	coverage area: metropolitan	1589
14783	schedule: schedules	29
14784	cost: paid fare	2074
14785	cost: subsidized	2485
14786	purpose: oil and gas exploration	1290
14787	purpose: offshore drilling	1291
14788	structure: ship-like	308
14789	structure: rig-like	1612
14790	function: drilling	340
14791	function: extraction	1099
14792	technology: advanced drilling equipment	340
14793	technology: high-tech machinery	1952
14794	type: manned	1455
14795	type: unmanned	2943
14796	size: extra space	455
14797	usage: travelling	348
14798	usage: business	1292
14799	brand: mercedes	413
14800	model: sprinter	1766
14801	method: sea routes closure	2886
14802	method: embargo	2841
14803	method: interdiction of cargo ships	1895
14804	historical context: world war i	2021
14805	historical context: world war ii	2021
14806	historical context: cold war	1294
14807	consequences: hunger and famine	1684
14808	legality: debated	1293
14809	legality: prohibited by international law	2203
14810	legality: sometimes justified by self-defense	1293
14811	examples: operation barbarossa	2722
14812	examples: cuban missile crisis	1294
14813	examples: gulf war	1294
14814	type: metals	2545
14815	shape: powder	2356
14816	shape: granular	2356
14817	shape: lumpy	2356
14818	transported by: ships	202
14819	transported by: trucks	2634
14820	transported by: trains	202
14821	characteristics: non-perishable	2734
14822	characteristics: inert	3097
14823	handling requirements: careful	3156
14824	handling requirements: specialized equipment needed	501
14825	purpose: reduce risk	1071
14826	purpose: save time	1692
14827	features: deep water	2583
14828	features: well-marked	708
14829	function: separation of lanes	1558
14830	function: prevention of collisions	584
14831	maintenance: buoy maintenance	2299
14832	mode: space	792
14833	capacity: one person	908
14834	features: propellers	2608
14835	transportation: short-distance	601
14836	engine type: electric	1672
14837	speed: up to 60 km/h	2972
14838	usage: delivery	426
14839	features: kick-start	2796
14840	features: storage basket	2645
14841	location: paved road	1295
14842	location: pavement	402
14843	type of vessel: deep-sea fishing	2973
14844	type of vessel: commercial fishing	2973
14845	primary function: fishing	1349
14846	primary function: harvesting seafood	1821
14847	fishing method: trawling	1349
14848	fishing method: nets	926
14849	crew: marine engineers	1955
14850	environmental impact: depleting fish stocks	966
14851	environmental impact: polluting oceans	2236
14852	function: aid in navigation	1296
14853	function: provide warning	756
14854	shape: ball	266
14855	shape: flash	1270
14856	characteristics: rotating	3047
14857	characteristics: flashing	2265
14858	used for: maritime safety	2077
14859	used for: landmark identification	2504
14860	installed on: buoy	132
14861	installed on: ship	2174
14862	installed on: aircraft	105
14863	installed on: building	1789
14864	route: specific location	1837
14865	route: daily route	2844
14866	route: destination	1837
14867	reliability: on time	575
14868	reliability: delayed	2923
14869	reliability: canceled	575
14870	responsibility: operator	1161
14871	responsibility: driver	1161
14872	responsibility: conductor	2781
14873	definition: directing	2436
14874	definition: overseeing	1599
14875	in context of: business	2234
14876	in context of: personal life	576
14877	in context of: team	3120
14878	challenges faced: conflict resolution	1297
14879	challenges faced: time management	1285
14880	challenges faced: budgeting	3048
14881	tools used: planning	1298
14882	tools used: budgeting	1960
14883	tools used: reporting	3092
14884	roles in: leadership	3162
14885	roles in: administration	1550
14886	roles in: supervision	1599
14887	propulsion: jet turbine	354
14888	propulsion: rotating propeller	205
14889	features: highly efficient	1017
14890	features: environmentally friendly	3160
14891	location: flight deck	1825
14892	structure: ring-shaped	758
14893	uses: medicinal	2364
14894	uses: cosmetic	357
14895	classification: natural	2081
14896	classification: synthetic	1974
14897	classification: hazardous	3053
14898	reactions: combustible	1980
14899	reactions: reacts with water	2708
14900	reactions: reacts with acid	902
14901	examples: pharmaceuticals	761
14902	classification: stratosphere	360
14903	classification: troposphere	360
14904	classification: mesosphere	359
14905	classification: thermosphere	360
14906	classification: exosphere	360
14907	temperature: varies with altitude	2455
14908	temperature: increases with altitude	2455
14909	composition: water vapor	2725
14910	pressure: decreases with altitude	581
14911	pressure: increases with altitude	581
14912	layer: tropopause	359
14913	layer: stratopause	359
14914	layer: mesopause	1965
14915	layer: exobase	359
14916	characteristics: supports life	1191
14917	characteristics: has varying atmospheric pressure	1600
14918	characteristics: has varying temperature	2455
14919	features: yield signs	1299
14920	layout: t-shaped	931
14921	layout: y-shaped	1578
14922	layout: round	2586
14923	traffic flow: free-flowing	583
14924	traffic flow: signal-controlled	583
14925	hazards: accidents	438
14926	hazards: traffic congestion	2256
14927	hazards: pedestrian risk	3053
14928	design: signalized	551
14929	design: unsignalized	103
14930	design: controlled	996
14931	design: uncontrolled	2780
14932	type of engine: gasoline	1672
14933	type of engine: diesel	1411
14934	type of engine: electric	1672
14935	seating capacity: one to eight	3016
14936	objective: ensure safe takeoff and landing	766
14937	objective: optimize air traffic flow	1300
14938	procedures for emergency situations: emergency landing	1151
14939	procedures for emergency situations: evacuation	1405
14940	procedures for emergency situations: distress signal	1317
14941	aircraft categories: commercial airliner	2276
14942	aircraft categories: private jet	763
14943	aircraft categories: military aircraft	2277
14944	regulations and guidelines: icao regulations	422
14945	regulations and guidelines: faa guidelines	423
14946	regulations and guidelines: eu regulations	2727
14947	meaning: holding	1350
14948	in context of: objects	765
14949	in context of: values	1249
14950	in context of: promises	2366
14951	method: protection	370
14952	purpose: longevity	1226
14953	example of: keeping a secret	1301
14954	example of: keeping a promise	2366
14955	example of: keeping a pet	1302
14956	opposite of: losing	734
14957	opposite of: forgetting	2367
14958	opposite of: breaking	2180
14959	function: regulating air traffic	1897
14960	function: ensuring safe takeoffs and landings	1303
14961	responsibilities: air traffic management	1304
14962	responsibilities: aviation safety	1762
14963	operations: 24/7 monitoring	1482
14964	operations: coordinate flights	1506
14965	operations: issue flight clearances	1506
14966	function: access	2473
14967	type: main	2850
14968	type: auxiliary	2446
14969	opening/closing: manual	2714
14970	opening/closing: automatic	2714
14971	accessibility: easy	2715
14972	accessibility: difficult	2715
14973	maintained by: regulatory agency	2281
14974	maintained by: shipping authority	1025
14975	format: paper records	25
14976	accessibility: restricted access	785
14977	location: straits	113
14978	function: maritime path	1652
14979	characteristics: important	385
14980	characteristics: high-risk	1822
14981	regulations: rules for navigation	936
14982	regulations: traffic control	1330
14983	types: emergency	1305
14984	types: designated	1207
14985	concerns: trade	1788
14986	access: staircase	727
14987	features: pay stations	916
14988	seating capacity: five to eight people	3016
14989	design: aggressive	1306
14990	design: rugged	589
14991	target market: outdoor enthusiasts	939
14992	target market: families	100
14993	target market: off-roaders	3008
14994	purpose: establishing relationships	1307
14995	purpose: maintaining data integrity	3051
14996	examples: customer id	771
14997	examples: order id	2358
14998	function: landing and takeoff	228
14999	facilities: terminal building	1006
15000	facilities: check-in counter	317
15001	features: baggage claim	43
15002	features: customs and immigration	2917
15003	features: duty-free shopping	382
15004	operations: flight arrivals and departures	2885
15005	location: metropolitan area	2031
15006	services: taxi service	283
15007	origin: made	1459
15008	composition: non-synthetic	1974
15009	source: plant	3165
15010	source: animal	3084
15011	source: microbe	1407
15012	function: provides nutrients	1308
15013	function: regulates ecosystem	773
15014	function: forms part of food chain	1761
15015	uses: compost	2247
15016	properties: perishable	2734
15017	properties: recyclable	1189
15018	structure: open-top	651
15019	method of payment: online payment	1410
15020	jurisdiction: municipal	1717
15021	jurisdiction: federal	437
15022	functionality: computing	1266
15023	functionality: communication	390
15024	functionality: entertainment	6
15025	functionality: control	3040
15026	form factor: handheld	2368
15027	form factor: wearable	1309
15028	interface: voice command	1836
15029	processing power: fast	3033
15030	processing power: slow	3032
15031	processing power: high-performance	3033
15032	processing power: low-power	3032
15033	connection: wireless	395
15034	connection: wired	1310
15035	connection: bluetooth	395
15036	connection: wi-fi	395
15037	frequency: schedule	1873
15038	route: reliable	1837
15039	reliability: consistent	2923
15040	function: powers vehicle	298
15041	location: in engine compartment	1682
15042	connection: connected to fuel line	595
15043	maintenance: needs regular inspection	175
15044	safety feature: has fuel gauge	376
15045	safety feature: has leak detection	1245
15046	safety feature: has safety valve	1129
15047	used in: rivers	1311
15048	used in: lakes	1324
15049	used in: oceans	1321
15050	design: specially designed	103
15051	design: modified from regular boat	50
15052	target: government	2575
15053	enforcement: boycott	1902
15054	effect: economic loss	400
15055	effect: diplomatic tension	2370
15056	example: south africa-apartheid	1976
15057	function: temporary stopover	2264
15058	characteristics: isolated	1619
15059	used for: recreational boats	1167
15060	used for: commercial vessels	598
15061	used for: fishing boats	926
15062	maintenance: periodic cleaning	141
15063	purpose: commercial access	672
15064	data type: integer	1312
15065	data type: string	1312
15066	data type: boolean	1312
15067	storage location: memory	2410
15068	storage location: database	405
15069	storage location: file	2410
15070	usage: data processing	627
15071	usage: data storage	2410
15072	usage: data retrieval	2148
15073	visibility: hidden	831
15074	visibility: encrypted	1607
15075	power source: chemical reaction	2708
15076	efficiency: low emissions	1905
15077	usage: trucks	1414
15078	usage: ships	1415
15079	usage: generators	1416
15080	usage: industrial machinery	718
15081	characteristics: smooth operation	2701
15082	services: tourism	2385
15083	operating model: private	1760
15084	operating model: public	1387
15085	operating model: government	2815
15086	operating model: non-profit	1315
15087	revenue stream: cargo fees	1174
15088	revenue stream: ticket sales	603
15089	revenue stream: advertising	603
15090	revenue stream: sponsorships	603
15091	function: refueling	1313
15092	type: conventional	644
15093	type: submersible	339
15094	cargo capacity: medium	301
15095	design features: stabilizers	1314
15096	design features: ballast tanks	2171
15097	design features: propulsion systems	489
15098	type: dining	549
15099	movement: attached to a train	1950
15100	design: interior decor	264
15101	design: exterior design	2837
15102	design: comfort	2927
15103	location: on a train	1014
15104	location: at a station	2014
15105	location: in a train yard	2048
15106	operations: running trains	1977
15107	operations: maintaining tracks	1977
15108	structure: corporation	1830
15109	structure: non-profit	1315
15110	goal: maximizing profit	2008
15111	goal: serving public	2414
15112	function: provide power	1705
15113	location: studio	3000
15114	body part involved: core	2035
15115	body part involved: whole body	2035
15116	frequency: often	409
15117	purpose: fishing industry	1349
15118	material: hull	89
15119	function: carry hazardous materials	13
15120	features: separate compartments	993
15121	operation: requires specialized crew	1038
15122	operation: needs careful handling	41
15123	environmental impact: potential for spills	2202
15124	environmental impact: concern for pollution	754
15125	type: restaurant	2431
15126	function: serving meals	1316
15127	function: providing snacks	2585
15128	function: offering drinks	2412
15129	amenities: tables	1854
15130	amenities: chairs	2807
15131	amenities: buffet	549
15132	staff: waiters	958
15133	staff: chefs	958
15134	staff: train attendants	1610
15135	service: full service	1681
15136	service: self-service	129
15137	service: buffet style	1514
15138	function: branching point	316
15139	layout: complex network	1194
15140	layout: multiple tracks	1325
15141	traffic: constant	42
15142	safety features: signals	1317
